OBJECTID,SEPRID,SEPRTYPE,STATEDAREA,SEPRTYPE2,created_user,created_date,last_edited_user,last_edited_date,Shape__Area,Shape__Length
1,1809413006,Air Right,0.469,10,,,AANDREWS,2018-07-13T19:56:44.000Z,20410.1354980469,573.356126326521
2,1809209026,Air Right,0.941,10,,,AANDREWS,2018-07-13T19:56:44.000Z,40971.9985351563,814.342710239674
3,1928701001,Mineral Right,160,10,,,AANDREWS,2018-07-13T19:56:44.000Z,7234653.29614258,10759.5933211267
4,1927701001,Mineral Right,159,10,,,AANDREWS,2018-07-13T19:56:44.000Z,7016380.59350586,10629.9504306628
5,1926701001,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1763852.34790039,5312.52308788914
6,2030701001,Mineral Right,111.5,10,,,AANDREWS,2018-07-13T19:56:44.000Z,4855791.15478516,12594.7389693825
7,1930701003,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1813336.43481445,5387.00893935095
8,1930701005,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1841198.37841797,5428.17784648007
9,1926701002,Mineral Right,40.56 a,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1766839.703125,5317.27407684772
10,1929701001,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3629962.86694336,8065.70873038125
11,1928701002,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3608776.41796875,8035.93875637477
12,1927701003,Mineral Right,19,10,,,AANDREWS,2018-07-13T19:56:44.000Z,826310.547363281,4203.43289534106
13,1927701004,Mineral Right,145,10,,,AANDREWS,2018-07-13T19:56:44.000Z,6326438.73364258,11053.5318446183
14,1930701001,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3701492.87573242,8149.61281818718
15,1927701002,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3593864.0378418,8052.45059487685
16,1926701004,Mineral Right,20,10,,,AANDREWS,2018-07-13T19:56:44.000Z,893486.286621094,4000.36157620832
17,1926701003,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3589582.82299805,8047.71153567316
18,1925701001,Mineral Right,429.8 a,10,,,AANDREWS,2018-07-13T19:56:44.000Z,18656385.7702637,23628.8775638492
19,1922701010,Mineral Right,30,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1330200.66601563,4667.31010696302
20,1922701004,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1779208.3269043,5335.51067903339
21,1923701006,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3558730.22900391,8022.44794774963
22,1922701011,Mineral Right,5,10,,,AANDREWS,2018-07-13T19:56:44.000Z,219921.590820313,2995.72536102299
23,1921701009,Mineral Right,160,10,,,AANDREWS,2018-07-13T19:56:44.000Z,7220223.32763672,10745.1407631599
24,1920701008,Mineral Right,41,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3054677.47460938,7366.39297368657
25,1921701008,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3705164.43847656,8137.58435996141
26,1922701006,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3517897.50708008,7954.5852975
27,1920701006,Mineral Right,60,10,,,AANDREWS,2018-07-13T19:56:44.000Z,2292201.75927734,6277.88044175623
28,1922701008,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3559189.04199219,7984.99162321912
29,1919701010,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3607493.18481445,8037.07004676789
30,1920701002,Mineral Right,160,10,,,AANDREWS,2018-07-13T19:56:44.000Z,7339839.16333008,10837.0784672647
31,1919701007,Mineral Right,160,10,,,AANDREWS,2018-07-13T19:56:44.000Z,7266465.13183594,10783.2202170258
32,1923701003,Mineral Right,40,10,,,AANDREWS,2019-03-11T15:02:17.000Z,1775500.06665039,5330.32364127799
33,1924701001,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1744298.34985352,5283.58300318881
34,1924701002,Mineral Right,160,10,,,AANDREWS,2018-07-13T19:56:44.000Z,7113113.41772461,10669.2004456234
35,1923701007,Mineral Right,160,10,,,AANDREWS,2018-07-13T19:56:44.000Z,7138200.36254883,10687.3181132492
36,1924701005,Mineral Right,120,10,,,AANDREWS,2018-07-13T19:56:44.000Z,5286599.81298828,10620.3760184232
37,1923701005,Mineral Right,11.34,10,,,AANDREWS,2018-07-13T19:56:44.000Z,494163.585205078,5784.09981483133
38,1922701003,Mineral Right,10,10,,,AANDREWS,2018-07-13T19:56:44.000Z,519873.482177734,5132.36384243778
39,1924701004,Mineral Right,16.5,10,,,AANDREWS,2018-07-13T19:56:44.000Z,718200.623046875,5783.56273572412
40,1919701009,Mineral Right,10,10,,,AANDREWS,2018-07-13T19:56:44.000Z,437015.309814453,3501.239814931
41,1920701003,Mineral Right,20,10,,,AANDREWS,2018-07-13T19:56:44.000Z,912663.061279297,4050.23930236206
42,1919701004,Mineral Right,21.27,10,,,AANDREWS,2018-07-13T19:56:44.000Z,930180.526367188,4090.73519808406
43,1919701003,Mineral Right,21.28,10,,,AANDREWS,2018-07-13T19:56:44.000Z,921962.160888672,4084.19992001774
44,1924701003,Mineral Right,24.5,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1072855.50415039,4432.97994121321
45,2019701001,Mineral Right,43.33,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1883226.81494141,5782.9967666838
46,1921701003,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3626853.6730957,8106.57103368918
47,1922701013,Mineral Right,17,10,,,AANDREWS,2018-07-13T19:56:44.000Z,738680.854248047,3705.59799937191
48,1922701001,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1770903.27783203,5323.0411597882
49,1921701007,Mineral Right,20,10,,,AANDREWS,2018-10-15T21:03:56.000Z,882639.983398438,3995.63358769324
50,1922701012,Mineral Right,23,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1025090.46118164,6476.0150326047
51,1921701005,Mineral Right,80,10,,,AANDREWS,2018-10-15T21:03:56.000Z,3600416.72094727,8054.93220252814
52,1921701001,Mineral Right,15,10,,,AANDREWS,2018-07-13T19:56:44.000Z,655572.740234375,3638.8322408367
53,1919701001,Mineral Right,34,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1519714.70336914,6718.1648029667
54,1923701001,Mineral Right,74.3,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3435212.88867188,7985.27053110738
55,1920701001,Mineral Right,160,10,,,AANDREWS,2018-07-13T19:56:44.000Z,7241379.80859375,10764.1529790654
56,1919701005,Mineral Right,125,10,,,AANDREWS,2018-07-13T19:56:44.000Z,5532556.43139648,9489.9463116452
57,1916701008,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1763438.83837891,5312.1045704899
58,1916701004,Mineral Right,20,10,,,AANDREWS,2018-07-13T19:56:44.000Z,908961.157714844,4026.57153874465
59,1916701002,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1781403.75610352,5338.81906002028
60,1915701011,Mineral Right,40,10,,,AANDREWS,2019-03-07T17:00:40.000Z,1775358.83056641,5330.08690718578
61,1914701005,Mineral Right,40,10,,,AANDREWS,2019-03-07T17:00:40.000Z,1798430.14672852,5364.86988187841
62,1914701006,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1797814.36816406,5363.88814039106
63,1916701005,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1760374.45410156,5307.48917278386
64,1915701007,Mineral Right,160,10,,,AANDREWS,2018-07-13T19:56:44.000Z,7098271.04272461,10657.0593048154
65,1915701009,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3573387.98217773,8007.99396197307
66,1916701001,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3575643.52368164,8022.10179086314
67,1918701005,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3725773.55175781,8132.92442001929
68,1918701004,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3743103.69628906,8144.26918379901
69,1913701002,Mineral Right,75,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3508037.91137695,7936.40460643571
70,2017701005,Mineral Right,159,10,,,AANDREWS,2018-07-13T19:56:44.000Z,6805084.4206543,10438.0675932647
71,2015701001,Mineral Right,30,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1840580.4543457,5833.21364857677
72,2018701003,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1747672.72607422,6611.20940701633
73,2018701004,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1732829.37670898,6603.12874974827
74,2017701004,Mineral Right,79.17,10,,,AANDREWS,2018-07-13T19:56:44.000Z,6879773.28540039,10487.5112278349
75,1915701005,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1796989.203125,5362.21974619352
76,1916701006,Mineral Right,20,10,,,AANDREWS,2018-07-13T19:56:44.000Z,894280.182373047,4001.71527679057
77,1914701004,Mineral Right,80,10,,,AANDREWS,2019-05-01T13:48:36.000Z,3516663.58569336,7973.56609018048
78,1913701001,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1812055.3269043,5390.47276365074
79,1915701001,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3533810.80419922,7975.52649916377
80,1916701007,Mineral Right,20,10,,,AANDREWS,2018-07-13T19:56:44.000Z,877909.874755859,3980.77063910354
81,1915701003,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1788811.86547852,5350.06384062562
82,1914701001,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3541473.42749023,8003.27898862988
83,2016701001,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3507737.45874023,7904.95824795761
84,2017701003,Mineral Right,8,10,,,AANDREWS,2018-07-13T19:56:44.000Z,345259.096679688,5495.22807458796
85,2016701002,Mineral Right,33.4,10,,,AANDREWS,2019-04-10T16:48:55.000Z,1367785.38574219,4770.55530310474
86,1914701003,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1754845.73754883,5299.41276598746
87,1918701001,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3784914.8293457,8182.45349581268
88,2017701002,Mineral Right,152,10,,,AANDREWS,2018-07-13T19:56:44.000Z,6411693.22875977,10170.1570209073
89,1918701002,Mineral Right,160,10,,,AANDREWS,2018-07-13T19:56:44.000Z,7081722.23510742,10645.918900324
90,1917701001,Mineral Right,160,10,,,AANDREWS,2018-07-13T19:56:44.000Z,7178966.40844727,10717.6150063387
91,2018701002,Mineral Right,2,10,,,AANDREWS,2018-07-13T19:56:44.000Z,13842132.2612305,15783.8027174018
92,2017701001,Mineral Right,158,10,,,AANDREWS,2018-07-13T19:56:44.000Z,6903005.18676758,10484.5936478643
93,1912701004,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1756607.7265625,5348.96467323095
94,1910701011,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1799441.64135742,5365.94533109004
95,1909701009,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1805758.83837891,5375.49559082676
96,2008701010,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1695477.84765625,5210.70914439048
97,1908701007,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3543369.0637207,8000.5224878833
98,2009701011,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1769445.58642578,5321.22811897714
99,2008701007,Mineral Right,23.508,10,,,AANDREWS,2018-07-13T19:56:44.000Z,996218.407226563,4298.54937190025
100,2008701008,Mineral Right,3.94,10,,,AANDREWS,2018-07-13T19:56:44.000Z,171599.089111328,1659.99571943902
101,2009701005,Mineral Right,39.5,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1774532.09179688,5328.80602967292
102,1910701013,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1800961.98193359,5370.28350650006
103,1910701012,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1810743.17285156,5380.2514270566
104,2009701006,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1772933.99926758,5326.43012418483
105,1909701011,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1827951.91674805,5408.27311158667
106,1909701007,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3587894.83544922,8041.54130513383
107,2009701007,Mineral Right,80,10,,,AANDREWS,2019-04-10T16:48:55.000Z,3556507.50024414,8002.88628608867
108,1910701010,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3597154.74902344,8043.23152117112
109,2010701001,Mineral Right,2.104,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1582800.69848633,5175.93708846242
110,2009701010,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1757831.45532227,5303.97675840244
111,2008701006,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3436894.53613281,7843.91973887867
112,1908701008,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3569017.3371582,8015.23705490545
113,2007701003,Mineral Right,160,10,,,AANDREWS,2018-07-13T19:56:44.000Z,7033336.59594727,10616.3744890496
114,1911701005,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1813426.92285156,5386.82672857788
115,1912701003,Mineral Right,120,10,,,AANDREWS,2018-07-13T19:56:44.000Z,5356282.93188477,10671.7141228496
116,2008701009,Mineral Right,50,10,,,AANDREWS,2018-07-13T19:56:44.000Z,2184486.34741211,6669.64421971364
117,1908701005,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1784700.17871094,5343.88026641685
118,2007701005,Mineral Right,158,10,,,AANDREWS,2018-07-13T19:56:44.000Z,6910529.91162109,10509.2889801906
119,1907701005,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1890783.94677734,5502.13357935708
120,1907701007,Mineral Right,25,10,,,AANDREWS,2018-07-13T19:56:44.000Z,7015337.93310547,10622.2136115485
121,1912701005,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1766555.32373047,5317.01014189978
122,1908701010,Mineral Right,5,10,,,AANDREWS,2018-07-13T19:56:44.000Z,246597.066162109,3036.85001228305
123,2009701004,Mineral Right,20,10,,,AANDREWS,2018-07-13T19:56:44.000Z,896955.680664063,3952.30469458779
124,1910701009,Mineral Right,25,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1116286.21630859,4336.52159809896
125,2009701009,Mineral Right,30,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1322417.29418945,4658.04217668062
126,2007701002,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3472138.86328125,7923.57779226589
127,1908701003,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1748894.58374023,5290.11138982916
128,1910701008,Mineral Right,11,10,,,AANDREWS,2018-07-13T19:56:44.000Z,481488.305908203,2931.28024819729
129,1910701003,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1808185.36914063,5379.01000401065
130,1910701007,Mineral Right,28,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1284144.52783203,4604.18828509052
131,1909701004,Mineral Right,20,10,,,AANDREWS,2018-07-13T19:56:44.000Z,899241.093261719,4028.61568219437
132,2008701004,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1732303.29101563,5265.03536033915
133,1911701001,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1767106.81176758,5317.32799439536
134,1908701001,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1772746.88842773,5325.87909552848
135,2007701001,Mineral Right,38.76,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1740363.74487305,5277.18512322948
136,2009701008,Mineral Right,90,10,,,AANDREWS,2018-07-13T19:56:44.000Z,4037415.70849609,10725.4319932236
137,2009701001,Mineral Right,79,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3576005.03930664,8038.75266160597
138,2009701002,Mineral Right,60,10,,,AANDREWS,2018-07-13T19:56:44.000Z,2649591.50366211,6726.03297073904
139,2009701003,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1808608.56958008,5380.53195972853
