OBJECTID,Neighborhoods,GlobalID,Shape__Area,Shape__Length
1,10,33889102-44ab-4a3c-9cbc-b50820002441,965580.528076172,11057.6754924652
2,20,6226d80a-620c-4567-a3ac-628b655ef4c9,2630196.83740234,22663.1379129155
3,21,49a55f35-16ff-4a21-8030-4b12faa05da7,4381292.17871094,38150.4052714223
4,30,a3637da6-79bf-4ce3-ad61-9cd62af3f145,8357482.90917969,25690.8356824146
5,31,14d4faff-9f0e-4215-b884-5af31edba439,1139557.84082031,11449.4928543225
6,40,b440c6cf-5c4f-4448-a4b1-8aff218ab203,8190280.31958008,32887.9362427032
7,41,58312967-bd60-4c8d-bf83-e5bdd83fd800,460872.764892578,6289.98508106235
8,50,28130227-ea85-43a8-846f-14395c0737f7,21382321.1452637,50500.882688193
9,51,3950a078-fbe1-410e-b885-2d426cc91b51,47841090.7856445,135689.979409932
10,60,327a907f-0bc5-4b8f-ba5c-34836bc7eca6,2837537.23046875,16575.0609341665
11,61,c0bdbd1b-9281-408b-85c2-f32b652968be,3273780.21240234,23930.6661366703
12,70,a1901440-4718-402b-81de-7e0d33cbb786,1315304.32519531,9599.98101714429
13,80,d93f692a-2ece-46d2-a99e-66c9e77180d5,11570994.0915527,120112.916290141
14,81,c60331d6-c07a-416b-b770-341de7ec691d,1316772.55834961,16807.0196719354
15,90,addd5608-5b3b-4491-a9a6-a577ab0a4808,100279720.774658,236952.782082275
16,100,5d294b17-fc90-4641-8ce3-8edf1f193dab,1684060.6940918,8437.37968282304
17,101,47c4a7db-99d2-408e-b528-0f11822cdef0,1020767.95458984,13378.8127171948
18,110,07c97a15-e603-44ab-8e01-02d30cd82f08,26867693.9428711,66163.9768935891
19,111,9fd969aa-81a2-44d8-a3cf-f1b5eb5527ae,1946990.94018555,25616.1506710609
20,120,4afcd975-269c-42d8-8e61-32f548e9e421,21857138.9775391,29211.5869021559
21,130,baed43a2-e0ae-427f-95ad-6b3f3ccc0ee1,69937857.2380371,249083.958246826
22,131,298a98ac-5c54-46b5-8523-ffea1ad388a6,17118949.5439453,81760.4207733554
23,140,9108c0a9-5e22-4d0d-bf51-4a93c203cf9e,3073464.91967773,12865.0694520508
24,141,61efc9e0-e75c-459b-96e5-4400ab414dc8,9946095.44848633,73569.8250095653
25,142,9cf53922-ad68-475e-832d-3c1a67f43c4d,3878116.91479492,35162.9530286216
26,150,2714e3ed-bff3-495d-8aee-dbf25f489260,6484773.68188477,31534.1231232633
27,160,ca7e4e35-214a-4e24-9587-26ed9201ea30,794842.227539063,11795.7505595872
28,161,4cecedcc-9687-4776-9681-9c6a541e4b86,1743064.74902344,22285.9313711512
29,170,60eba649-3bcd-4ca7-9de4-29919dea2e30,22928251.3898926,79332.3664361638
30,172,f08b3e8a-fd43-4558-a586-c9e618c7393b,39190841.8903809,109386.311356386
31,173,f466f055-5a8c-4adc-b01e-a1a74bfd5514,5931247.18334961,41380.6137080738
32,175,8d8a0d24-e20d-480b-a05d-0ded83c3db57,12281154.0124512,59754.8704170798
33,178,e232c890-49df-4edc-8d4f-333139490606,4287149.56811523,41423.5113632375
34,179,ec0d2bb5-19da-4b33-8321-611bae172a2a,26656807.9294434,116646.257728284
35,181,54c599f2-3acc-4b83-ad1e-0edb916c2b8e,6465318.4206543,47415.5646338128
36,182,d239f166-d673-4632-b705-9322130c5a1e,49676688.8015137,42967.0019694228
37,190,660e7f96-92c7-4bfa-993c-c7759ed4002c,19006737.6477051,108463.558780592
38,191,2d1c3086-c922-44c9-b573-ba210e0e0762,7046073.57421875,24362.2172569764
39,192,f8d944c5-c402-46a8-b744-32731343e6db,842938.068359375,13734.5235820248
40,200,7ed01743-59fa-4eed-82b5-05ca6d671974,97412397.6303711,292060.053162864
41,201,6a6fac38-8284-4d31-aa05-32d0ecafa16e,2493064.15063477,16949.4486907426
42,601,9cdff508-72e8-437e-95d6-e874f558b3da,25080304.0622559,45916.7605045143
43,602,a39ea15e-1938-46e1-a7a7-297d6bea0a85,32002883.0202637,94527.7981877954
44,603,e9836504-d7d3-4845-ad40-7290a68d5de6,245174.749511719,9742.22482161586
45,604,5d554977-82d6-43a0-8c16-20dc1c5bb949,8865920.24462891,34870.4125375468
46,605,09df21a2-25c5-4215-9215-cc9ea45e38a2,19090151.8916016,59076.9776403144
47,609,76e6b7c0-76c0-49fe-9eaa-c343de335f83,12102623.6806641,61129.7465785927
48,612,7da2fd78-a633-4aaa-8bc7-81794ac435d0,9705210.5534668,44643.8992747529
49,614,4dfbdd88-3075-486e-a18c-2ff62da43d7e,17022566.5673828,49559.1382873944
50,619,2b532288-113a-4ffa-b05f-0cb804a7c910,10516269.8654785,44350.6543425044
51,621,6dd923d1-c648-4cf8-b685-a17cc41fd54c,7120968.37597656,47350.3823052073
52,623,1da4eb55-3cc3-4a61-8caf-46cb8d99371e,8249822.18945313,53679.5943777305
53,626,ef066752-51d5-442e-8f3d-167a11dad1fc,7151888.90795898,31000.7122911652
54,629,fcb1ddfa-0758-4b99-be7b-4a347e71704c,4182599.2277832,28892.9759155746
55,631,de4062e0-9fe5-42c9-9fc6-bd7207cad33d,2165738.00634766,15182.3303794724
56,634,e7e010eb-b48f-4c73-ad6b-06cb28dddea6,5436937.58642578,33791.0760318985
57,635,d3e3944e-3ee7-4914-a8ce-c2044819dff7,605012.443847656,10295.5194196747
58,637,14238e27-3438-4ac8-90c4-66f02906350d,14805687.7988281,76168.1905035814
59,639,297c7f03-7f77-4065-8a1e-c439c2e2ab46,2829708.62280273,31127.3580864384
60,641,3d6a7dbe-30f4-48e7-bdac-d273779ccdd3,7354062.56469727,62818.8415990094
61,643,7dd9dbea-106f-4fca-a8b8-633ebac4e270,5748527.26049805,50545.8984283265
62,649,6ce6dc56-fe47-4e0f-b868-f2e9ba85dc22,2554953.84985352,22903.670638739
63,653,fc8a77b0-6590-4cee-9dbf-4a0699d596ae,4055866.90454102,65450.8104253687
64,654,6ffb4ded-47d3-4d91-9f25-808b597f7ead,9881544.98999023,62642.575878576
65,655,464348de-d5db-4a36-95bf-e598a910ed86,21186538.2258301,61718.8718652834
66,656,135adb14-7039-41e8-a363-b36d6c2ec544,4234067.46850586,18326.6521149947
67,657,ba24ba3f-251d-4f45-bddc-c60d793e6f75,9073887.92578125,45402.0570612862
68,658,5bdcbfa7-194f-45bd-a3ef-70353987ad76,1809254.38061523,10755.7564168997
69,660,303f73e4-588b-4eaa-afb2-ef0b215079f1,7182938.10083008,36221.3811210411
70,661,1d33810e-a561-42f3-9535-13374a89fd34,13914645.828125,92150.3046995303
71,662,c268b18e-1af3-486f-989b-f6f4a9e55117,7200338.71582031,46615.049378232
72,663,1c347392-27e4-426a-beb0-0735a9ff86b0,4374196.7019043,45472.7899284707
73,664,caf7ec49-3ea8-4072-887a-98e110191e4e,2594986.68237305,27327.4507084375
74,665,c63461eb-4c43-465f-896e-7d12aaaa402b,785298.378662109,12418.9190383481
75,1000,d0f49c0c-ad12-41d5-8cb6-34e44b2fe6dd,366712292.898682,583301.055098757
76,1001,ddc15bec-fdae-4972-be66-173ecf8acf84,1107932.39892578,8168.72521573107
77,1002,904ab83f-7ed3-4024-869b-9eda06c768f3,3161099.8371582,12328.3732395843
78,2000,f972c62a-7dae-4dbc-aa5a-742e4581d5ee,330827541.669922,694976.654315377
79,2050,66889c89-5a42-467b-a877-fbed90d956a3,2384200.40917969,8135.30964684001
80,2100,b1347a95-2d7f-4d75-a3f2-22ca3f3a887c,3310773.49389648,17450.6404979007
81,2150,f76305ae-5013-408d-aedf-7e9a0dcb8d44,4040699.10400391,17621.454805286
82,2200,4be08397-be64-48f1-88bb-0ff072d4bfb9,1812761.84301758,12796.5285558656
83,3000,2e41cef4-84c0-4557-8fd9-182df68a81bf,308428465.953369,628197.485644114
84,3100,152ab067-869f-49af-ac22-8533b7068ccd,1117433.47729492,7503.98927456357
85,3150,96fefb6a-d3c8-4a9d-9808-45438093aaba,1435588.7644043,13095.8070352094
86,3200,e99e665f-7ac4-4ecd-84bb-c5686d9e0891,2599268.87792969,11172.1039646167
87,3250,12414ea2-ec4a-4480-b8dc-ac8df1ddadfb,473874.814941406,2993.96647756074
88,4000,97ea038e-909f-49f9-8ad5-9f56d95d9300,387713142.03833,793935.143186905
89,4150,eb8bab55-1c4d-4378-9a96-b81780a9e5be,21080548.3635254,48469.9444337577
