OBJECTID,TYPE,Status,Comments,Date_Modified,Compiler,created_user,created_date,last_edited_user,last_edited_date,GlobalID,Shape__Area,Shape__Length
1,Bridge Outline Features,Updated,,2012-10-30T00:00:00.000Z,A.Hendon,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,75d1e298-ec40-43a5-a7e3-63c956c0c000,431.13916015625,90.5787942615591
2,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,08969132-38d2-4d6c-b76f-5470d5c06ffa,191.418701171875,64.5846178952184
3,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,cfdd5b7d-dd3c-4f05-bac1-5f70234c6ed6,108.373046875,59.5873476222363
4,Bridge Outline Features,Updated,,2012-10-30T00:00:00.000Z,A.Hendon,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,b7befa3b-7258-43e4-9a4f-090cd26b5da9,785.50537109375,148.500866109626
5,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,59f3b7dd-ee14-4395-b996-49c8af93d25a,4746.70336914063,282.403948605686
6,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,82354ecc-a52e-42dd-82da-d4a1f5e401ee,240.8544921875,97.6605112124307
7,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,14b08455-0846-4549-bc14-7ab90139c1f7,10982.4858398438,649.778415191741
8,Bridge Outline Features,Updated,,2012-10-30T00:00:00.000Z,A.Hendon,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,9fae584c-36aa-464a-96ff-2f052948ff9e,96.9560546875,52.3147535827015
9,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,2821b7fb-ad59-43b3-b1bd-98953bab26a6,199.42333984375,84.5649822921298
10,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,b567c2b4-4774-4e05-8ceb-943ba3a649db,443.07958984375,85.8983768282788
11,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,1cdf45f3-5387-49c9-b92b-2e6c2a2ee544,692.898193359375,124.957604740403
12,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,cdb266eb-d20b-436d-ade3-2d0fcd3c59bb,139.8095703125,77.1838917840989
13,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,b4fc6159-ab33-496d-b7a3-44d12043b513,432.015380859375,92.7653242869719
14,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,319390a6-34ab-4838-b2e0-c5e36e6eadcb,338.66748046875,107.674382498547
15,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,0d2f2a95-1d77-4d8c-b772-ec2b25a0dbfc,397.2763671875,128.303267751365
16,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,2b4fd6cb-cb1f-4813-afb9-95c6ad43e5db,151.875244140625,86.654939787302
17,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,d5ee79fc-d00f-4a5d-b001-eef81a8101e9,133.378173828125,60.5278589818982
18,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,41cedb06-4f8a-47c0-9c55-1936b6d2e9d7,75.19189453125,42.4022300088231
19,Bridge Outline Features,Existing,,,,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,ffb5a5d0-769b-47e0-9b71-27fc980e9379,95.172119140625,49.1800181188201
