X,Y,OBJECTID,stormdate,surveydate,damage,damage_txt,dod_txt,efscale,damage_dir,windspeed,injuries,deaths,comments,lat,lon,office,image
-89.890281892795088,40.718897650806014,1,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,28,Trees: Softwood (TS),Trunks snapped,EF1,N/A,95,0,0,none,40.7188,-89.8902,ILX,od6Ljda6_1458141495455.jpg
-89.890277701954346,40.718901800277933,2,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,28,Trees: Softwood (TS),Trees debarked with only stubs of largest branches remaining,EF1,N/A,95,0,0,none,40.7189,-89.8902,ILX,od6Ljda6_1458141540306.jpg
-89.890343919036582,40.718921706771425,3,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,28,Trees: Softwood (TS),Trees uprooted,EF1,N/A,87,0,0,none,40.7189,-89.8903,ILX,od6Ljda6_1458141569023.jpg
-89.890820598391883,40.718844383961198,4,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,28,Trees: Softwood (TS),Trees uprooted,EF1,N/A,90,0,0,none,40.7188,-89.8908,ILX,od6Ljda6_1458141636693.jpg
-89.890914224112123,40.718889520934681,5,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,28,Trees: Softwood (TS),Trunks snapped,EF1,N/A,95,0,0,none,40.7188,-89.8909,ILX,od6Ljda6_1458141676178.jpg
-89.891551248990936,40.71897870400403,6,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,28,Trees: Softwood (TS),Trunks snapped,EF1,N/A,95,0,0,none,40.7189,-89.8915,ILX,od6Ljda6_1458141770485.jpg
-89.891676809637033,40.719151286602653,7,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,28,Trees: Softwood (TS),Trunks snapped,EF1,N/A,95,0,0,none,40.7191,-89.8916,ILX,od6Ljda6_1458141824387.jpg
-89.891547645407456,40.719305305395608,8,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,28,Trees: Softwood (TS),Trunks snapped,EF1,N/A,95,0,0,none,40.7193,-89.8915,ILX,od6Ljda6_1458141866466.jpg
-89.891441361729449,40.719148228008351,9,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,1,Small Barns or Farm Outbuildings (SBO),Loss of wood or metal roof panels,EF0,N/A,75,0,0,none,40.7191,-89.8914,ILX,od6Ljda6_1458141968255.jpg
-89.889808735184943,40.719133810976643,10,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,1,Small Barns or Farm Outbuildings (SBO),Collapse of walls,EF1,N/A,97,0,0,none,40.7191,-89.8898,ILX,od6Ljda6_1458142133231.jpg
-89.889810410621919,40.719235400193611,11,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,1,Small Barns or Farm Outbuildings (SBO),Collapse of walls,EF1,N/A,95,0,0,none,40.7192,-89.8898,ILX,od6Ljda6_1458142223703.jpg
-89.890563943571124,40.72195754910166,12,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,28,Trees: Softwood (TS),Large branches broken (1-3 inch diameter),EF0,N/A,75,0,0,none,40.7219,-89.8905,ILX,od6Ljda6_1458142486347.jpg
-89.890577104249928,40.72203457783354,13,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,1,Small Barns or Farm Outbuildings (SBO),Major loss of roof panels,EF0,N/A,85,0,0,none,40.722,-89.8905,ILX,od6Ljda6_1458142534234.jpg
-89.890508120853042,40.722438963387503,14,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,2,One- or Two-Family Residences (FR12),"Loss of roof covering material (<20%), gutters and/or awning; loss of vinyl or metal siding",EF0,N/A,85,0,0,none,40.7224,-89.8905,ILX,od6Ljda6_1458142594154.jpg
-89.890548521996664,40.722522446553739,15,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,28,Trees: Softwood (TS),Trees uprooted,EF0,N/A,85,0,0,none,40.7225,-89.8905,ILX,od6Ljda6_1458142657275.jpg
-89.891085046737487,40.722480537247066,16,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,28,Trees: Softwood (TS),Trees uprooted,EF1,N/A,87,0,0,none,40.7224,-89.891,ILX,od6Ljda6_1458142766830.jpg
-89.891047244634592,40.722540174889218,17,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,2,One- or Two-Family Residences (FR12),"Loss of roof covering material (<20%), gutters and/or awning; loss of vinyl or metal siding",EF0,NNE/30,85,0,0,none,40.7225,-89.891,ILX,od6Ljda6_1458142830385.jpg
-89.890955630697761,40.722733671221988,18,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,1,Small Barns or Farm Outbuildings (SBO),Major loss of roof panels,EF1,NNE/30,90,0,0,none,40.7227,-89.8909,ILX,od6Ljda6_1458142894372.jpg
-89.89089930435938,40.722898877581201,19,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,1,Small Barns or Farm Outbuildings (SBO),Major loss of roof panels,EF1,W/270,90,0,0,facing west,40.7228,-89.8908,ILX,od6Ljda6_1458142969792.jpg
-89.890892347204044,40.723114880347509,20,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,1,Small Barns or Farm Outbuildings (SBO),Collapse of walls,EF1,NE/45,90,0,0,grain bin destroyed. pic taken facing ne,40.7231,-89.8908,ILX,od6Ljda6_1458143084199.jpg
-89.889349071002812,40.723059181735891,21,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,1,Small Barns or Farm Outbuildings (SBO),Total destruction of building,EF1,NE/45,94,0,0,none,40.723,-89.8893,ILX,od6Ljda6_1458143335396.jpg
-89.890007638241855,40.723156747386042,22,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,28,Trees: Softwood (TS),Trees uprooted,EF0,E/90,85,0,0,none,40.7231,-89.89,ILX,od6Ljda6_1458143220190.jpg
-89.910688810440206,40.714958910725215,23,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,1,Small Barns or Farm Outbuildings (SBO),Major loss of roof panels,EF1,E/90,89,0,0,none,40.7149,-89.9106,ILX,od6Ljda6_1458144620381.jpg
-89.91075653568555,40.715021943308102,24,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,28,Trees: Softwood (TS),Trunks snapped,EF1,N/0,89,0,0,none,40.715,-89.9107,ILX,od6Ljda6_1458144677968.jpg
-89.911228186031906,40.715350177868459,25,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,1,Small Barns or Farm Outbuildings (SBO),Total destruction of building,EF1,WSW/240,95,0,0,car thrown and garage destroyed farther west of pic location,40.7153,-89.9112,ILX,od6Ljda6_1458145099997.jpg
-89.911227515137682,40.715337563078151,26,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,2,One- or Two-Family Residences (FR12),"Loss of roof covering material (<20%), gutters and/or awning; loss of vinyl or metal siding",EF0,W/270,85,0,0,Home in pic with shingle damage and trees down. branches stuck into side of house.,40.7153,-89.9112,ILX,od6Ljda6_1458145437627.jpg
-89.911238494960514,40.715241213311401,27,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,28,Trees: Softwood (TS),Trees uprooted,EF1,WSW/240,90,0,0,evergreen uprooted,40.7152,-89.9112,ILX,od6Ljda6_1458145553467.jpg
-89.914589076624566,40.71372936931499,28,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,29,Other (O),Other damage,EF1,E/90,110,0,0,tornado may have started here. threw a car 50 yds into the field.,40.7137,-89.9145,ILX,od6Ljda6_1458145961679.jpg
-89.914752441172197,40.713905724569599,29,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,1,Small Barns or Farm Outbuildings (SBO),Collapse of walls,EF1,W/270,100,0,0,garage collapsed wall. car in front was tossed into a field 50 yds away.,40.7139,-89.9147,ILX,od6Ljda6_1458146164557.jpg
-89.914643141167971,40.713981203769606,30,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,1,Small Barns or Farm Outbuildings (SBO),Collapse of walls,EF1,W/270,100,0,0,car picked up from this spot and tossed into the field 50 yds away.,40.7139,-89.9146,ILX,bk2nkN0j_1458146424002.jpg
-89.914610702621815,40.713485330183914,31,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,28,Trees: Softwood (TS),Trunks snapped,EF1,W/270,88,0,0,none,40.7134,-89.9146,ILX,bk2nkN0j_1458146506403.jpg
-89.912185733784554,40.713516426941624,32,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,28,Trees: Softwood (TS),Trunks snapped,EF1,E/90,95,0,0,trees snapped. branches stuck in the side of homer.,40.7135,-89.9121,ILX,bk2nkN0j_1458146942277.jpg
-89.871241896995912,40.72973607955646,33,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,2,One- or Two-Family Residences (FR12),"Large sections of roof structure removed; most walls remain standing",EF1,N/0,105,0,0,church damaged. many trees snapped or uprooted nearby.,40.7297,-89.8712,ILX,bk2nkN0j_1458147541688.jpg
-89.871171572709898,40.730286393602228,34,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,2,One- or Two-Family Residences (FR12),"Large sections of roof structure removed; most walls remain standing",EF1,N/0,105,0,0,none,40.7302,-89.8711,ILX,bk2nkN0j_1458147592388.jpg
-89.870874100359401,40.730219758335238,35,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,28,Trees: Softwood (TS),Trunks snapped,EF1,E/90,94,0,0,none,40.7302,-89.8708,ILX,bk2nkN0j_1458147682678.jpg
-89.870707551312421,40.733328731735639,36,2016-03-15T00:00:00.000Z,2016-03-16T00:00:00.000Z,1,Small Barns or Farm Outbuildings (SBO),Total destruction of building,EF1,N/0,94,0,0,none,40.7333,-89.8707,ILX,TjBtTqEq_1458148074184.jpg
-89.868172864286237,40.733402408694246,37,2016-03-15T00:00:00.000Z,2016-03-16T00:00:00.000Z,2,One- or Two-Family Residences (FR12),"Large sections of roof structure removed; most walls remain standing",EF1,SSE/150,105,0,0,none,40.7334,-89.8681,ILX,TjBtTqEq_1458148178202.jpg
-89.862038484288576,40.733415567574411,38,2016-03-15T00:00:00.000Z,2016-03-16T00:00:00.000Z,2,One- or Two-Family Residences (FR12),"Large sections of roof structure removed; most walls remain standing",EF1,NNE/30,105,0,0,none,40.7334,-89.862,ILX,TjBtTqEq_1458148284175.jpg
-89.838993112242292,40.741191879401754,39,2016-03-15T00:00:00.000Z,2016-03-16T00:00:00.000Z,1,Small Barns or Farm Outbuildings (SBO),Overturning or sliding of entire structure,EF1,NW/315,100,0,0,none,40.7411,-89.8389,ILX,TjBtTqEq_1458148644141.jpg
-89.838998475798974,40.741328462138881,40,2016-03-15T00:00:00.000Z,2016-03-16T00:00:00.000Z,28,Trees: Softwood (TS),Large branches broken (1-3 inch diameter),EF0,NW/315,85,0,0,none,40.7413,-89.8389,ILX,TjBtTqEq_1458148711278.jpg
-89.833063753389467,40.74572154331463,41,2016-03-15T00:00:00.000Z,2016-03-16T00:00:00.000Z,28,Trees: Softwood (TS),Large branches broken (1-3 inch diameter),EF0,NW/315,85,0,0,none,40.7457,-89.833,ILX,TjBtTqEq_1458148887870.jpg
-89.819698557042727,40.749933155690655,42,2016-03-15T00:00:00.000Z,2016-03-16T00:00:00.000Z,28,Trees: Softwood (TS),Trunks snapped,EF1,E/90,88,0,0,none,40.7499,-89.8196,ILX,TjBtTqEq_1458149288125.jpg
-89.800747577039033,40.756783267433889,43,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,2,One- or Two-Family Residences (FR12),"Large sections of roof structure removed; most walls remain standing",EF2,S/180,115,0,0,none,40.7567,-89.8007,ILX,TjBtTqEq_1458149762689.jpg
-89.800862827857202,40.756847095017463,44,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,28,Trees: Softwood (TS),Trees uprooted,EF1,E/90,110,0,0,ripped tree from ground and tossed it into the next tree.,40.7568,-89.8008,ILX,TjBtTqEq_1458149941559.jpg
-89.800737016300218,40.756651922348397,45,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,1,Small Barns or Farm Outbuildings (SBO),Collapse of walls,EF1,E/90,100,0,0,none,40.7566,-89.8007,ILX,TjBtTqEq_1458149987561.jpg
-89.800643222406734,40.756590147917052,46,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,28,Trees: Softwood (TS),Trunks snapped,EF1,SW/225,100,0,0,none,40.7565,-89.8006,ILX,TjBtTqEq_1458150051098.jpg
-89.798334342555847,40.756069295661518,47,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,28,Trees: Softwood (TS),Trunks snapped,EF1,NNW/330,100,0,0,none,40.756,-89.7983,ILX,TjBtTqEq_1458150228941.jpg
-89.798328810825922,40.756059196274919,48,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,2,One- or Two-Family Residences (FR12),"Loss of roof covering material (<20%), gutters and/or awning; loss of vinyl or metal siding",EF0,N/0,85,0,0,none,40.756,-89.7983,ILX,TjBtTqEq_1458150306317.jpg
-89.783819999693208,40.759340000440716,49,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,28,Trees: Softwood (TS),Large branches broken (1-3 inch diameter),EF0,SE/135,80,0,0,none,40.7593,-89.7838,ILX,null
-89.785922170371805,40.749811740019823,50,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,28,Trees: Softwood (TS),Trunks snapped,TSTM/Wind,S/180,88,0,0,none,40.7498,-89.7859,ILX,null
-89.647640716445892,40.730429556678757,51,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,5,"Apartments, Condos, Townhouses [3 stories or less] (ACT)",Loss of roof covering (<20%),EF0,N/0,85,0,0,none,40.7304,-89.6476,ILX,TjBtTqEq_1458156216527.jpg
