OBJECTID,Unit_Code,Tax_Year,District_Name,WebSite,GlobalID,Shape__Area,Shape__Length
14,070,2017,AKRON-PRINCEVLLE FPD (Dist # 070),,fcc05bd1-b394-4f10-a669-a62d8d9432ed,2200913401.81885,201863.507941073
15,084,2017,BRIMFIELD FPD (Dist # 084),http://www.brimfield-community-fpd.org,06598592-9671-4216-976c-c71add9395c5,3418127491.99121,338534.429751957
16,115,2017,CHILLICOTHE COMM FPD (Dist # 115),,8af34964-3fb0-449a-83e2-4b5f4b4ce0ee,1676396927.92749,347659.894200278
17,148,2017,DUNLAP FPD (Dist # 148),http://www.dunlapfire.com,5281494c-fd43-4f87-941c-859dc73f96c8,1644519077.49219,452052.30993346
18,165,2017,ELMWOOD FPD (Dist # 165),,b148a7ba-7775-4515-ba9a-4653710abc1b,1090729520.2207,171218.006750053
19,170,2017,FARMINGTON COMM FPD (Dist # 170),,6a36f72d-4d9a-4878-a6b9-9b07031eee23,347840674.182617,85244.0983837672
20,256,2017,LIMESTONE FPD (Dist # 256),http://www.limestonefire.org,36fea7e0-9ff2-466f-8f53-497ed23cfcf0,1020395992.18408,227540.133110074
21,272,2017,LOGAN-TRIVOLI FPD (Dist # 272),http://www.logantrivoli.com,de978f9b-a5a0-4379-9ea1-33aff660650b,2216672247.68726,209929.225648401
22,355,2017,RICHWOODS FPD (Dist # 355),,78b9e41d-b8b2-4f4e-a238-e70f352c19dd,23443515.1540527,51973.4335264236
23,386,2017,TIMBER-HOLLIS FPD (Dist # 386),,10e2d2d4-e986-4025-8a0f-3c45cf6b0a48,1556643952.96509,217151.736910083
25,508,2017,WEST PEORIA FPD (Dist # 508),http://www.westpeoriafire.com,1763c9dc-14c6-48ea-b0bc-905bfbb78020,35810878.1311035,34296.5139002961
26,515,2017,WILLIAMSFIELD FPD (Dist # 515),,c9f12b45-6c21-42bb-a5fb-07d802088b68,202940638.244141,93505.797500127
28,402,2017,TUSCARORA FPD (Dist # 402),http://www.tuscarorafire.org,788aa4b1-669c-4655-834a-44f5dc2433e8,110640626.531494,47475.8784169125
