OBJECTID,ENCUMID,SRCREF,ENCUMTYPE,STATEDAREA,LASTUPDATE,LASTEDITOR,created_user,created_date,last_edited_user,last_edited_date,Shape__Area,Shape__Length
1,1932200003,,Lease,11,,,,,AANDREWS,2018-07-13T19:57:03.000Z,486734.600341797,3407.84526876011
2,1932200001,,Lease,80,,,,,AANDREWS,2018-07-13T19:57:03.000Z,3337602.48046875,7650.96104921458
3,1933200003,,Lease,66.39,,,,,AANDREWS,2018-07-13T19:57:03.000Z,2926841.55126953,7118.63898748845
4,1932100006,,Lease,0.5,,,,,AANDREWS,2018-07-13T19:57:03.000Z,21408.2954101563,685.499891805063
5,1934100001,,Lease,100.88,,,,,AANDREWS,2018-07-13T19:57:03.000Z,4239179.15478516,8483.44062073676
6,1927351003,,Lease,0.23,,,,,AANDREWS,2018-07-13T19:57:03.000Z,9999.99072265625,399.999809091303
7,1929300010,,Lease,0.23,,,,,AANDREWS,2018-07-13T19:57:03.000Z,10002.0029296875,400.071558721163
8,1925401003,,Lease,7.5,,,,,AANDREWS,2018-07-13T19:57:03.000Z,487340.878662109,4420.76073977701
9,1925252002,,Lease,1.79,,,,,AANDREWS,2018-07-13T19:57:03.000Z,80972.3395996094,1150.18551688796
10,2029100010,,Lease,0.15,,,,,AANDREWS,2018-07-13T19:57:03.000Z,6399.66186523438,319.991559625139
11,2021279004,,Lease,0.55,,,,,AANDREWS,2018-07-13T19:57:03.000Z,26000.8129882813,776.477058917243
12,2026300004,,Lease,125.267,,,,,AANDREWS,2018-07-13T19:57:03.000Z,4516334.54199219,34553.5470000058
13,2018176007,,Lease,6,,,,,AANDREWS,2018-07-13T19:57:03.000Z,264272.962402344,2146.78912700057
14,2016100014,,Lease,0.23,,,,,AANDREWS,2018-07-13T19:57:03.000Z,10000.0268554688,400.00053999515
15,2014101008,,Lease,0.55,,,,,AANDREWS,2018-07-13T19:57:03.000Z,2399.99536132813,200.000031639644
16,2011402003,,Lease,4.63,,,,,AANDREWS,2018-07-13T19:57:03.000Z,4366.66381835938,616.840619393401
17,2011402003,,Lease,4.63,,,,,AANDREWS,2018-07-13T19:57:03.000Z,238473.079101563,5070.74034823467
18,2011278001,,Lease,5.75,,,,,AANDREWS,2018-07-13T19:57:03.000Z,251506.562255859,5330.56851484392
