OBJECTID,Status,Street,Block_Num,Area_Sq_Ft,Mowing,Weed_Spray,Fertilizer,Num_Trees,Tree_Trimming,Comments,MedianType,Compiler,Date_Modified,created_user,created_date,last_edited_user,last_edited_date,GlobalID,Shape__Area,Shape__Length
1,Existing,,,,,,,,,,Grass,Sanborn,2012-09-05T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,0374902a-7285-47d7-902b-d636a550b8a4,663.813720703125,106.658106256282
2,Updated,,,,,,,,,,Grass,C.Wrice,2012-09-05T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,230626d4-0442-4a5c-af2e-3ef5ac97fc52,2003.79248046875,159.066523274237
3,Updated,,,,,,,,,,Paved,C.Wrice,2012-09-05T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,2ca9877c-e256-422d-9c73-c70a8f12d294,74.053955078125,37.9458275266359
4,Updated,,,,,,,,,,Paved,C.Wrice,2012-09-05T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,604a9b02-53a6-4d29-8afa-e0d10481306b,2765.27758789063,1091.45613520007
5,Updated,,,,,,,,,,Paved,C.Wrice,2012-09-05T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,d1c6b62e-999d-44dd-941c-6ae816ae63b1,523.462158203125,105.657502746288
6,Updated,,,,,,,,,,Paved,C.Wrice,2012-09-05T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,d1fdb3ce-631a-4a80-9dbd-c39f5bbd4bec,233.7470703125,68.9974703238209
7,Updated,,,,,,,,,,Paved,C.Wrice,2012-09-05T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,e0a683ed-0c6a-40f8-acad-624a1605039b,539.07080078125,108.460226764408
8,Updated,,,,,,,,,,Paved,C.Wrice,2012-09-05T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,4db4cd1b-7be5-4287-a41a-d6d78c901f5a,283.79541015625,75.4310272327297
9,Updated,,,,,,,,,,Paved,C.Wrice,2012-09-05T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,cd4e8501-18d1-461b-b282-3c49453ad1d4,770.240966796875,407.790043044641
10,Updated,,,,,,,,,,Paved,C.Wrice,2012-09-05T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,21ab3f54-6bdc-4846-b36c-eb7e6bbf6c90,840.20556640625,402.624508697901
11,Updated,,,,,,,,,,Paved,C.Wrice,2012-09-05T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,a16cd8f8-22f2-450c-8348-d536e3651c68,607.373046875,339.285177659554
12,Updated,,,,,,,,,,Paved,C.Wrice,2012-09-05T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,9f879d5f-f371-48c1-a965-20db5ffc6eca,289.601806640625,80.2235799086894
13,Updated,,,,,,,,,,Paved,C.Wrice,2012-09-05T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,37da1423-ee58-4ae5-a20d-f683a2d44785,311.832275390625,81.0916647318502
14,Updated,,,,,,,,,,Paved,C.Wrice,2012-09-05T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,c90f3959-8b3f-4819-b17a-28e749c7e635,315.17138671875,73.8239223434798
15,Updated,,,,,,,,,,Paved,C.Wrice,2012-09-05T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,a2b57b34-6b19-436c-a96e-64264506d319,598.515380859375,139.982967778838
16,Updated,,,,,,,,,,Paved,C.Wrice,2012-09-05T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,725721b1-5182-424f-a5ba-d8e80ef4097d,377.30224609375,178.836392604851
17,Updated,,,,,,,,,,Grass,Austin Holland,2017-12-13T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,5074e23b-dabc-4d41-8291-7637076db742,60962.8295898438,5656.48585008497
18,Updated,,,,,,,,,,Paved,C.Wrice,2012-09-05T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,2a5c83ab-dbd5-44fb-95df-2c362b766530,366.887451171875,180.959147243053
19,Existing,,,,,,,,,,Paved,C.Wrice,2012-10-17T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,005821de-0f18-410b-aa73-0e90afa32ac8,400.71337890625,88.6911241221762
20,Updated,,,,,,,,,,Paved,C.Wrice,2012-10-17T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,3958f26b-91b3-43c2-a3ea-de40d4e33354,5900.6728515625,969.563792210113
21,Updated,,,,,,,,,,Grass,C.Wrice,2012-10-17T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,171661c1-2f29-4fc3-ad00-0c7a67ab71e6,303.11669921875,114.995781389077
22,Updated,,,,,,,,,,Paved,C.Wrice,2012-10-17T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,24f916cc-4ad4-499d-a435-b0ae5387f8ca,47400.9411621094,7634.65263676469
23,Updated,,,,,,,,,,Grass,C.Wrice,2012-10-17T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,1d053142-8026-4ebc-87df-2f445020860c,689.041748046875,163.127531133915
24,Updated,,,,,,,,,,Grass,C.Wrice,2012-10-17T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,3bb5e926-6169-41d2-929d-860214906854,2808.984375,259.085519891389
25,Updated,,,,,,,,,,Grass,C.Wrice,2012-10-17T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,5ac40d66-ab16-45e0-9f70-5d0d5eca3178,418.787109375,115.034820711533
26,Updated,,,,,,,,,,Grass,C.Wrice,2012-10-17T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,bf1ef408-1f4e-493a-90e2-354d03a94eea,751.96142578125,158.608550095953
27,Updated,,,,,,,,,,Paved,C.Wrice,2012-10-17T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,08a01413-dc79-48cf-839f-e63535b8a8e4,12115.7006835938,2683.25907474492
28,Updated,,,,,,,,,,Grass,C.Wrice,2012-10-17T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,3259f4e8-fa0c-4ea2-b8f0-9b5fc1d2391a,2537.96118164063,356.142349618338
29,Updated,,,,,,,,,,Paved,C.Wrice,2012-10-17T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,88092d47-2dd4-4d4f-9750-4ab5665d61e5,478.5166015625,103.535325950559
30,Updated,,,,,,,,,,Paved,C.Wrice,2012-10-17T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,f46279ec-cafa-4286-a16a-bc61c1ebe5cc,3312.61865234375,833.942592223936
31,Updated,,,,,,,,,,Paved,C.Wrice,2012-10-17T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,99d40c62-ec01-4180-9d2c-c92fcb7d1417,13749.2009277344,2360.40130432131
32,Updated,,,,,,,,,,Paved,C.Wrice,2012-10-16T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,df48ee07-7893-4ed8-8883-45df5788353e,1296.76049804688,292.239788667091
33,Updated,,,,,,,,,,Paved,C.Wrice,2012-10-16T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,46696e3d-da4f-4b24-a936-a7cf1a2e0297,1956.958984375,671.593761486175
34,Updated,,,,,,,,,,Paved,C.Wrice,2012-10-16T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,dc474238-2542-411b-b25a-94eaa663af75,65.390869140625,34.5708344537746
35,Updated,,,,,,,,,,Paved,C.Wrice,2012-10-16T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,2a7ae965-782b-435a-8078-0f840f23a1de,4835.72265625,580.819011654735
36,Updated,,,,,,,,,,Paved,C.Wrice,2012-10-16T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,663b79f5-57e0-4231-a44c-376b9cf92319,3602.88305664063,397.361989179899
37,Updated,,,,,,,,,,Paved,C.Wrice,2012-10-12T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,bafbce89-a55f-4ea1-a92e-fe2f3005b045,110.753662109375,47.8847958589089
