OBJECTID,Type,Shape_Leng,Shape__Area,Shape__Length
1,Obscure Area Outlines,878.8663279,41736.0251464844,878.866327887568
2,Obscure Area Outlines,1224.88512927,57962.5134277344,1224.88512926096
3,Obscure Area Outlines,930.342899445,41229.2827148438,930.342899424291
4,Obscure Area Outlines,1133.89615475,36320.4951171875,1133.89615474085
5,Obscure Area Outlines,969.141125907,38920.8217773438,969.141125915225
6,Obscure Area Outlines,2283.42372848,215637.969726563,2283.42372847218
7,Obscure Area Outlines,961.626971985,46710.2158203125,961.626971982678
8,Obscure Area Outlines,414.86534007,9716.068359375,414.865340070572
9,Obscure Area Outlines,557.636712,16329.8859863281,557.636711994713
10,Obscure Area Outlines,876.70487894,29886.0114746094,876.704878938791
11,Obscure Area Outlines,1729.43910362,54116.7019042969,1729.43910361979
12,Obscure Area Outlines,400.206351543,4361.37133789063,400.206351549127
13,Obscure Area Outlines,1445.75363396,51596.5830078125,1445.75363395938
14,Obscure Area Outlines,6475.01561039,630728.162109375,6475.0156103708
15,Obscure Area Outlines,2308.92620027,133425.343505859,2308.92620026887
16,Obscure Area Outlines,2541.69434755,172982.141845703,2541.69434755217
17,Obscure Area Outlines,2121.84261809,202156.232177734,2121.84261809181
18,Obscure Area Outlines,832.569151855,12770.3449707031,832.569151857632
19,Obscure Area Outlines,658.061865524,11835.6511230469,658.061865522352
20,Obscure Area Outlines,8748.66430927,1039398.22265625,8748.66430926115
21,Obscure Area Outlines,763.445710853,19795.9255371094,763.445710850868
22,Obscure Area Outlines,770.958672362,28207.0805664063,770.95867236245
23,Obscure Area Outlines,854.761543679,42191.3266601563,854.761543675742
24,Obscure Area Outlines,755.845614289,20829.86328125,755.845614287534
25,Obscure Area Outlines,575.151860894,13536.4614257813,575.151860898264
26,Obscure Area Outlines,2672.87814347,145131.12109375,2672.87814348006
27,Obscure Area Outlines,2411.89233619,201060.340820313,2411.89233619536
28,Obscure Area Outlines,1077.88802695,26085.1437988281,1077.88802695196
29,Obscure Area Outlines,1554.81994983,55608.8864746094,1554.81994981947
30,Obscure Area Outlines,801.948915313,25921.2624511719,801.948915317487
31,Obscure Area Outlines,1786.37280086,93313.2097167969,1786.37280085345
32,Obscure Area Outlines,1616.44378836,119209.906982422,1616.44378836143
33,Obscure Area Outlines,594.328619144,20466.373046875,594.328619147218
34,Obscure Area Outlines,10894.3170418,1229151.1418457,10894.3170417795
35,Obscure Area Outlines,608.026288062,17377.6745605469,608.026288070732
36,Obscure Area Outlines,504.448801237,9494.5986328125,504.448801240769
37,Obscure Area Outlines,859.538631874,19537.5639648438,859.53863187191
38,Obscure Area Outlines,1749.91909059,45627.0236816406,1749.91909060138
39,Obscure Area Outlines,4881.1180992,317546.88671875,4881.11809918136
40,Obscure Area Outlines,11830.4836454,1043272.37744141,11830.4836453968
41,Obscure Area Outlines,1157.40879381,41730.7329101563,1157.4087938134
42,Obscure Area Outlines,312.632517753,5810.30078125,312.632517753227
43,Obscure Area Outlines,1110.58457492,39963.5031738281,1110.58457491863
44,Obscure Area Outlines,911.459567993,32107.2041015625,911.459567997748
45,Obscure Area Outlines,1086.86602856,46654.4868164063,1086.86602856596
46,Obscure Area Outlines,517.290277697,15128.5456542969,517.290277692899
47,Obscure Area Outlines,1154.97424343,39416.2702636719,1154.97424342205
48,Obscure Area Outlines,950.682313627,40573.9826660156,950.682313627031
49,Obscure Area Outlines,451.821066992,12062.2543945313,451.821066992893
50,Obscure Area Outlines,248.096503024,3909.7763671875,248.096503021363
51,Obscure Area Outlines,619.521718589,11623.8198242188,619.521718586833
52,Obscure Area Outlines,752.848049987,20050.5541992188,752.848049989538
53,Obscure Area Outlines,725.913143285,15444.8322753906,725.913143291537
54,Obscure Area Outlines,471.84655159,10904.1633300781,471.84655159204
55,Obscure Area Outlines,608.312431599,18361.7639160156,608.312431599444
56,Obscure Area Outlines,700.651946163,16151.1330566406,700.651946166695
57,Obscure Area Outlines,3367.74912012,131940.874267578,3367.74912011491
58,Obscure Area Outlines,1749.02075301,136812.057128906,1749.02075301593
59,Obscure Area Outlines,2968.23786333,261637.242675781,2968.23786332938
60,Obscure Area Outlines,2359.5857302,114337.769287109,2359.58573020066
61,Obscure Area Outlines,624.809628949,20493.6555175781,624.809628946911
62,Obscure Area Outlines,2575.10379966,85310.7619628906,2575.10379965337
63,Obscure Area Outlines,3009.55574863,137113.848144531,3009.55574863636
64,Obscure Area Outlines,1769.16690344,50399.1591796875,1769.16690345142
65,Obscure Area Outlines,1998.62993474,54594.712890625,1998.62993472507
66,Obscure Area Outlines,1526.8452062,63245.05859375,1526.84520620062
67,Obscure Area Outlines,1476.64653528,58342.1984863281,1476.64653527356
68,Obscure Area Outlines,766.721971123,27892.1940917969,766.721971130869
69,Obscure Area Outlines,3487.11377025,369007.535644531,3487.1137702445
70,Obscure Area Outlines,1090.27252619,32948.2902832031,1090.27252618911
71,Obscure Area Outlines,2760.59304673,90672.7800292969,2760.59304673792
72,Obscure Area Outlines,892.692324976,30227.3371582031,892.692324975705
73,Obscure Area Outlines,1307.9140208,55433.1892089844,1307.91402079491
74,Obscure Area Outlines,488.11033512,8617.7998046875,488.110335118182
75,Obscure Area Outlines,635.984648373,14435.8334960938,635.984648373835
76,Obscure Area Outlines,516.768393728,12534.8410644531,516.7683937208
77,Obscure Area Outlines,1256.81873194,43252.8928222656,1256.81873194477
78,Obscure Area Outlines,487.428675367,9362.04565429688,487.428675365699
79,Obscure Area Outlines,671.858260164,27650.5073242188,671.85826015671
80,Obscure Area Outlines,885.320498008,16704.3483886719,885.320498007873
81,Obscure Area Outlines,356.753779556,5050.74536132813,356.753779560122
82,Obscure Area Outlines,520.613065427,6676.16821289063,520.613065425803
83,Obscure Area Outlines,598.883110192,11229.3676757813,598.883110193009
