OBJECTID,TYPE,Status,Comments,Date_Modified,Compiler,created_user,created_date,last_edited_user,last_edited_date,GlobalID,Shape__Area,Shape__Length
2002,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,c47b7de9-2d52-4908-b0bc-ecd181f3484e,66068.748046875,2860.57984929777
2003,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,9bc9d14b-18b0-4f50-a5a7-cfcf73c2301a,61055.0297851563,2660.13695864291
2004,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,6f17b6ca-1b4c-4107-b3a2-793a953b7a0f,7362.5869140625,452.49242003951
2005,Paved,Updated,,2017-09-22T00:00:00.000Z,Austin Holland,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,3f3755b1-b7d7-4d3f-96ea-c99ad223daee,41547.6821289063,1419.69479252213
2006,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,cdfadcc3-bf4d-49b8-9427-5f6773307a14,3528.69311523438,417.265006955656
2007,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,d3b35a73-8ef1-4732-952f-650866b17631,50024.544921875,2150.01917491402
2008,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,5b334e1a-fb63-4d66-822d-0390af3264d6,3651.49145507813,293.754138004757
2009,Paved,Updated,,2017-09-15T00:00:00.000Z,Austin Holland,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,ac155d82-7a4e-428b-aeee-3dece6529915,85557.51171875,4110.12820325562
2010,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,83510b7f-c8b1-4d7e-b533-fea85a49bd3e,29381.71875,1332.22721881947
2011,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,05e5edc6-eb2c-4cae-9d5f-1ce826e11ca1,17560.3559570313,791.701936679989
2012,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,c0440bad-53e7-4c40-afd2-3da44921f5f3,32605.4584960938,2089.4993752307
2013,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,8a8a5bfd-8a09-4757-b821-e31b28c3616d,43684.6218261719,1726.57735002704
2014,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,54240747-7aa8-402a-ae78-364be1143973,2891.26635742188,306.09813726125
2015,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,5cc347ee-3785-428d-90d3-877026a0ff47,28073.8903808594,1660.0707108552
2016,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,2137e1f8-11d8-4a2c-a777-67def371fd3b,31244.4711914063,1377.31436935469
2017,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,fb8f700c-9da0-4a2b-bbc3-35d6d54dcf32,2340.80053710938,203.543917380752
