OBJECTID,Form,Id,ORIG_FID,GlobalID,Shape__Area,Shape__Length
1,Agriculture,1,1,34d5a991-a4f5-4ac1-bc9e-28e56c8082ea,216178.94140625,2002.20620984226
2,Agriculture,1,1,0b37dc51-81b9-4794-b807-095f7292ef9e,584633925.925293,240523.615096109
3,Agriculture,1,1,cc558a9f-e072-40f5-b473-4b26f2db3798,22503071.6953125,23191.7682297408
4,Agriculture,1,1,6833ad1a-a261-40af-900f-cde29117f5b3,854307607.130127,200250.774566155
5,Agriculture,1,1,8518fd87-3ccd-40cd-b780-0848123882e8,93.390869140625,70.6803629484267
6,Agriculture,1,1,046fcca4-5ab0-4dd0-9418-24d020089cc5,135176550.339844,73943.0819841726
7,Agriculture,1,1,1aed24b3-fba0-451c-9986-544ee2a1d364,70.23046875,5369.78451130381
8,Agriculture,1,1,3489cfe5-75d4-40cf-bb92-043d015fd4a9,54.0029296875,261.672493377948
9,Agriculture,1,1,166c18a2-df1d-45cd-941b-45d7ea2032de,4077788010.31299,1113129.20398288
10,Agriculture,1,1,501e6ecc-1c96-4656-9202-1395261e12b9,439893219.30542,139956.158589546
11,Agriculture Preservation,1,1,e4bd704f-4c4b-4c77-b446-7fc031ff19b6,40320805.4482422,34801.9367230367
12,Agriculture Preservation,1,1,013c1d52-ff3d-40ba-83ba-1c0f08c75cb7,586.852783203125,1180.11165090449
13,Agriculture Preservation,1,1,0c51f22b-e544-41bd-b633-afc6eecfcebe,23.364501953125,586.470019106508
14,Agriculture Preservation,1,1,f3d0fe90-7fdd-4c61-a96f-e28a2278af26,759415537.876953,261194.283637129
15,Agriculture Preservation,1,1,9a7014f2-cb4a-4cfa-90d2-16cdf7b8ea5f,45684955.9697266,42290.4157822962
16,Agriculture Preservation,1,1,941272b7-8799-4abf-819d-7495d5843772,140263851.727539,82251.1573026666
17,Agriculture Preservation,1,1,03aa7e5c-1d7c-4399-828e-10f14d5f450d,6135481597.51807,656253.883069247
18,Interchange,1,1,6a9c493e-31c9-4953-8db6-8369e815de87,31423019.6308594,25437.5022355845
19,Interchange,1,1,3677f8eb-c054-4084-ac37-acffb60c188a,15551924.7836914,15816.2469363561
20,Interchange,1,1,d4f055d8-5522-439d-a209-8292b080035e,12062536.9443359,19070.5424554978
21,Interchange,1,1,f10ed4cb-8319-46b8-9d2d-67697550d2e3,5294226.35668945,13914.5071891471
22,Rural,1,1,ab4a541a-a69e-4cff-b5e8-7f3334383a84,38673194.362793,25635.5243180134
23,Rural,1,1,4607c164-dc86-4fad-9b1c-c886bb46ec6e,319878.229492188,2882.09937840001
24,Rural,1,1,14c87b94-b1ad-479f-a5af-eb840c16a8ea,14706.2536621094,592.380488377
25,Rural,1,1,7e99bd76-fe5c-4057-917c-ee3342fe49a7,28375802.4165039,31152.6063924765
26,Rural,1,1,d1caefeb-f127-4eb9-963c-c719803c22c8,217896369.695313,109785.006672833
27,Rural,1,1,b67a2023-979c-49c3-a050-1712e04b9401,9409362.02856445,13573.9208183936
28,Rural,1,1,07ef199d-018e-47f4-b914-2da7e2e95c67,1165025.25610352,4417.64804598807
29,Rural,1,1,46fa712d-dad3-48f6-9cc5-c28cc642a083,3105099.83081055,7173.96927480477
30,Rural,1,1,20962fda-e70a-4919-ad81-a9d94480343f,34393652.9614258,42902.6535816092
31,Rural,1,1,74d19118-66b3-4bd2-88aa-ea1db4223efa,14345197.6069336,18931.8163555714
32,Rural,1,1,e2b85a0e-5b38-431c-89ac-b9ff3a63747d,69361156.2680664,62462.8399134425
33,Rural,1,1,9f612868-04cf-4fd6-b2c6-7cb3c1a3d30f,606456830.354248,196630.36360864
34,Rural,1,1,c5ad643f-6724-4e4d-bacd-02a7d32acdc3,8843093.15234375,13364.1163797642
35,Rural,1,1,d0a9f90a-0348-467b-b883-a4a225067f19,4060735.56616211,9289.52276595337
36,Rural,1,1,8628fb6b-ac64-45c9-9036-2631aab28508,70172413.0068359,37354.0614622552
37,Rural,1,1,5c354264-35b8-43c5-a453-2ab8c9bf24b4,142038627.882813,117611.507824984
38,Rural,1,1,02e40dd3-2433-42ae-932e-1646d677b1d5,2496212.73071289,7594.12441593206
39,Rural,1,1,d09946f8-2215-4969-9c3b-5246ef2697dd,4224979.98364258,9231.6233006833
40,Rural,1,1,612860ec-5ef1-43fb-a06d-49bd83e04e73,6430808.2590332,12596.2045997678
41,Rural,1,1,b98dbe18-7044-422a-bc7a-95e5e2dcf65f,1965262.67382813,7269.99588961308
42,Rural,1,1,83604ee5-78ca-45d5-9eb2-1bb255412151,2132707.25073242,8507.88571038327
43,Rural,1,1,472ced15-aa6b-484a-976a-25ab9cb9fbc9,854480.943847656,3871.87676406835
44,Rural,1,1,0f4f1f1b-08a9-4a1f-814d-04b55f1f853a,1508426.59985352,5856.29410260156
45,Urban,1,1,3948a026-1b9d-48f7-9ea1-c33ffd1c47e4,80383018.2375488,55969.8716941491
46,Urban,1,1,cf831b81-bbf5-4aef-be76-79fcf50746a4,14217877.0686035,25772.5463468134
47,Urban,1,1,a91986be-0630-409b-808a-b9475a6a18d4,30.939697265625,31.8130773124993
48,Urban,1,1,e953f435-02d5-45f4-8a57-08ab3d6248a9,14322911.0100098,21219.1142236366
49,Urban,1,1,1dc5a9c3-5389-4d31-8120-b769838c51f9,1402256.02050781,9020.68581707267
