X,Y,OBJECTID,ddlong,ddlat,POLLINGID,NAME,FULLADD,FULLADD2,CITY,STATE,OPERHOURS,HANDICAP,NEXTELECT,REGDATE,CONTACT,PHONE,EMAIL,WAITTIME,LASTUPDATE,LASTEDITOR,Township,Pre_1,Pre_2,Pre_3,Pre_4,WebURL,Pre_5,Pre_6
2410874.239238161593676,1555779.553215488791466,1,-89.75298418,40.93781563,1,Princeville United Methodist Church,"420 E Woertz Rd, Princeville, IL 61559",420 E Woertz Rd,Princeville,IL,6:00am-7:00pm,Yes,2020-03-17T00:00:00.000Z,,Peoria County Election Commission,309-324-2300,electioncommission@peoriacounty.org,0,2018-07-18T00:00:00.000Z,Austin Holland,Akron,AK01,PR01,PR02, ,http://gis.peoriacounty.org/PhotoisNotAvailable.png,,
2484157.538209330290556,1552098.506115660071373,2,-89.48784879,40.9264559,3,Chillicothe Bible Church,"434 W Moffitt St, Chillicothe, IL 61523",434 W Moffitt St,Chillicothe,IL,6:00am-7:00pm,Yes,2020-03-17T00:00:00.000Z,,Peoria County Election Commission,309-324-2300,electioncommission@peoriacounty.org,0,2018-07-18T00:00:00.000Z,Austin Holland,Chillicothe,CH01,CH02,CH03,CH04,http://gis.peoriacounty.org/PhotoisNotAvailable.png,,
2480886.595932327210903,1547687.403717413544655,3,-89.49980703,40.91441812,5,Chillicothe Public Library,"430 N Bradley Ave, Chillicothe, IL 61523",430 N Bradley Ave,Chillicothe,IL,6:00am-7:00pm,Yes,2020-03-17T00:00:00.000Z,,Peoria County Election Commission,309-324-2300,electioncommission@peoriacounty.org,0,2018-07-18T00:00:00.000Z,Austin Holland,Chillicothe,CH05,CH06,CH07,CH08,http://peoriacounty.org/files/8313/2285/5650/CH_67_Building.jpg,,
2477760.711764167994261,1532154.098497994244099,4,-89.51153732,40.87184946,7,Rome Baptist Church,"5104 E Stevenson Ave, Rome, IL 61562",5104 E Stevenson Ave,Rome,IL,6:00am-7:00pm,Yes,2020-03-17T00:00:00.000Z,,Peoria County Election Commission,309-324-2300,electioncommission@peoriacounty.org,0,2018-07-18T00:00:00.000Z,Austin Holland,Chillicothe,CH09,CH10,ME03, ,http://peoriacounty.org/files/8813/2285/5651/CH_910_Building.jpg,,
2348482.402407914400101,1497523.111329659819603,5,-89.97926435,40.77850048,8,United Methodist Church,"821 W Main St, Elmwood, IL 61529",821 W Main St,Elmwood,IL,6:00am-7:00pm,Yes,2020-03-17T00:00:00.000Z,,Peoria County Election Commission,309-324-2300,electioncommission@peoriacounty.org,0,2018-07-18T00:00:00.000Z,Austin Holland,Elmwood,EL01,EL02,EL03, ,http://gis.peoriacounty.org/PhotoisNotAvailable.png,,
2443217.26805591583252,1557003.307001575827599,6,-89.63589411,40.94069505,96,Edelstein Congregational Church,"2903 W Main St, Edelstein, Il 61526",2903 W Main St,Edelstein,IL,,,2020-03-17T00:00:00.000Z,,Peoria County Election Commission,309-324-2300,electioncommission@peoriacounty.org,,2018-07-18T00:00:00.000Z,,Chillicothe,HA01,HA02,,,http://gis.peoriacounty.org/PhotoisNotAvailable.png,,
2418262.574527077376842,1420786.388491079211235,7,-89.72868064,40.56718501,10,Mapleton Village Hall,"8524 W Main St, Mapleton, IL 61547",8524 W Main St,Mapleton,IL,6:00am-7:00pm,Yes,2020-03-17T00:00:00.000Z,,Peoria County Election Commission,309-324-2300,electioncommission@peoriacounty.org,0,2018-07-18T00:00:00.000Z,Austin Holland,Hollis,HO01,TI03, , ,http://peoriacounty.org/files/6813/2285/5656/HO_1_Building.jpg,,
2434087.904096834361553,1446513.422338739037514,8,-89.6711979,40.6375723,95,Bartonville Christian Church,"4900 W Pfeiffer Rd, Bartonville IL 61607",4900 W Pfeiffer Rd,Bartonville,IL,6:00am-7:00pm,Yes,2020-03-17T00:00:00.000Z,,Peoria County Election Commission,309-324-2300,electioncommission@peoriacounty.org,0,2018-07-18T00:00:00.000Z,Austin Holland,Hollis,HO02,LI20, , ,http://gis.peoriacounty.org/PhotoisNotAvailable.png,,
2411234.847112745046616,1502223.446089081466198,9,-89.75259555,40.79081159,13,Kickapoo Township Hall,"10025 W Route 150, Edwards, IL 61528",10025 W Route 150,Edwards,IL,6:00am-7:00pm,Yes,2020-03-17T00:00:00.000Z,,Peoria County Election Commission,309-324-2300,electioncommission@peoriacounty.org,0,2018-07-18T00:00:00.000Z,Austin Holland,Kickapoo,JU02,KI01,KI02, ,http://peoriacounty.org/files/3813/2285/5659/KI_12_Building.jpg,,
2437250.114307828247547,1474046.58577623963356,10,-89.65923129,40.71309663,14,Redeemer Presbyterian Church,"2025 N Kickapoo Creek Rd, Peoria, IL 61604",2025 N Kickapoo Creek Rd,Peoria,IL,6:00am-7:00pm,Yes,2020-03-17T00:00:00.000Z,,Peoria County Election Commission,309-324-2300,electioncommission@peoriacounty.org,0,2018-07-18T00:00:00.000Z,Austin Holland,Kickapoo,KI03,, , ,http://peoriacounty.org/files/3613/2285/5661/KI_3_Building.jpg,,
2424988.68804332986474,1465613.257826663553715,11,-89.70362153,40.69013451,15,Peoria County Highway Dept,"6915 W Plank Rd, Peoria, IL 61604",6915 W Plank Rd,Peoria,IL,6:00am-7:00pm,Yes,2020-03-17T00:00:00.000Z,,Peoria County Election Commission,309-324-2300,electioncommission@peoriacounty.org,0,2018-07-18T00:00:00.000Z,Austin Holland,Limestone,LI01,LI02,LI05,,http://gis.peoriacounty.org/PhotoisNotAvailable.png,,
2433938.382742330431938,1469292.205849327147007,12,-89.67127417,40.70009862,16,Itoo Society Hall,"4909 W Farmington Rd, Peoria, IL 61604",4909 W Farmington Rd,Peoria,IL,6:00am-7:00pm,Yes,2020-03-17T00:00:00.000Z,,Peoria County Election Commission,309-324-2300,electioncommission@peoriacounty.org,0,2018-07-18T00:00:00.000Z,Austin Holland,Limestone,LI03,LI04, , ,http://peoriacounty.org/files/7113/2285/5664/LI_34_Building.jpg,,
2439635.032110162079334,1450486.681452579796314,13,-89.65112684,40.64839077,21,Keystone Union Hall,"106 Bolivia Ave, Bartonville, IL 61607",106 Bolivia Ave,Bartonville,IL,6:00am-7:00pm,Yes,2020-03-17T00:00:00.000Z,,Peoria County Election Commission,309-324-2300,electioncommission@peoriacounty.org,0,2018-07-18T00:00:00.000Z,Austin Holland,Limestone,LI13,LI17, , ,http://peoriacounty.org//files/6013/2285/5670/LI_1317_Building.jpg,,
2439530.123199250549078,1460077.212140239775181,14,-89.65130234,40.67471684,19,City on a Hill Church of God,"3624 W Malone, Peoria, IL 61605",3624 W Malone St,Peoria,IL,6:00am-7:00pm,Yes,2020-03-17T00:00:00.000Z,,Peoria County Election Commission,309-324-2300,electioncommission@peoriacounty.org,0,2018-07-18T00:00:00.000Z,Austin Holland,Limestone,LI08,PE01,PE07, ,http://gis.peoriacounty.org/PhotoisNotAvailable.png,,
2420179.932897079735994,1441714.979179739952087,15,-89.72139832,40.62460532,22,Coyote Creek Golf Club,"8201 W Lancaster Rd, Bartonville, IL 61607",8201 W Lancaster Rd,Bartonville,IL,6:00am-7:00pm,Yes,2020-03-17T00:00:00.000Z,,Peoria County Election Commission,309-324-2300,electioncommission@peoriacounty.org,0,2018-07-18T00:00:00.000Z,Austin Holland,Limestone,LI14,LI18,LI19, ,http://gis.peoriacounty.org/PhotoisNotAvailable.png,,
2401609.952648665755987,1465866.288160488009453,16,-89.78792218,40.69113639,26,Hanna City United Methodist Church,"12208 W Farmington Rd, Hanna City, IL 61536",12208 W Farmington Rd,Hanna City,IL,6:00am-7:00pm,Yes,2020-03-17T00:00:00.000Z,,Peoria County Election Commission,309-324-2300,electioncommission@peoriacounty.org,0,2018-07-18T00:00:00.000Z,Austin Holland,Logan,LO01,LO02, LO03, ,http://peoriacounty.org/files/7813/2285/5675/LO_23_Building.jpg,,
2445151.408216498792171,1521695.310360498726368,17,-89.6296775,40.84375238,28,Cedar Hill Baptist Church,"12716 N Allen Rd, Dunlap, IL 61525",12716 N Allen Rd,Dunlap,IL,6:00am-7:00pm,Yes,2020-03-17T00:00:00.000Z,,Peoria County Election Commission,309-324-2300,electioncommission@peoriacounty.org,0,2018-07-18T00:00:00.000Z,Austin Holland,Medina,ME02,ME04,, ,http://gis.peoriacounty.org/PhotoisNotAvailable.png,,
2459895.354778416454792,1512825.905527159571648,18,-89.57660494,40.81914804,30,Mossville Methodist Church,"1015 E Mossville Rd, Peoria, IL 61615",1015 E Mossville Rd,Peoria,IL,6:00am-7:00pm,Yes,2020-03-17T00:00:00.000Z,,Peoria County Election Commission,309-324-2300,electioncommission@peoriacounty.org,0,2018-07-18T00:00:00.000Z,Austin Holland,Medina,ME05,ME06,,,http://gis.peoriacounty.org/PhotoisNotAvailable.png,,
