OBJECTID,DIVDSGNTR,BLKDSGNTR,DIVTYP,STATEDAREA,created_user,created_date,last_edited_user,last_edited_date,Shape__Area,Shape__Length
1,Public Right Of Way,,Public Right Of Way,15.23 a,,,AANDREWS,2018-07-13T19:57:01.000Z,663209.908203125,5955.64334426001
2,Public Right Of Way,,Public Right Of Way,21.52 a,,,AANDREWS,2018-07-13T19:57:01.000Z,937417.998535156,11728.9589278113
3,Public Right Of Way,,Public Right Of Way,6.950 a,,,AANDREWS,2018-07-13T19:57:01.000Z,302724.510742188,13008.9734704158
4,Public Right Of Way,,Public Right Of Way,0.9749 a,,,AANDREWS,2018-07-13T19:57:01.000Z,42575.7390136719,2324.28337599391
5,Public Right Of Way,,Public Right Of Way,14.65 a,,,AANDREWS,2018-07-13T19:57:01.000Z,638422.323730469,11306.1799617775
6,Public Right Of Way,,Public Right Of Way,12.74 a,,,AANDREWS,2018-07-13T19:57:01.000Z,554989.009765625,11102.3091927436
7,Public Right Of Way,,Public Right Of Way,2.675 a,,,AANDREWS,2018-07-13T19:57:01.000Z,116387.964355469,3080.22671292524
8,Public Right Of Way,,Public Right Of Way,0.5955 a,,,AANDREWS,2018-07-13T19:57:01.000Z,25941.4614257813,2845.75682186126
9,Public Right Of Way,,Public Right Of Way,4.735 a,,,AANDREWS,2018-07-13T19:57:01.000Z,206475.473876953,10964.1119108999
10,Public Right Of Way,,Public Right Of Way,4.932 a,,,AANDREWS,2018-07-13T19:57:01.000Z,214715.754882813,8237.21921618435
11,Public Right Of Way,,Public Right Of Way,0.0545 a,,,AANDREWS,2018-07-13T19:57:01.000Z,2354.82177734375,286.883248286294
12,Public Right Of Way,,Public Right Of Way,1.250 a,,,AANDREWS,2018-07-13T19:57:01.000Z,54471.1391601563,2569.75585519209
13,Public Right Of Way,,Public Right Of Way,0.0812 a,,,AANDREWS,2018-07-13T19:57:01.000Z,3536.10327148438,332.898218834324
14,Public Right Of Way,,Public Right Of Way,0.2686 a,,,AANDREWS,2018-07-13T19:57:01.000Z,11699.8269042969,568.003994891258
15,Public Right Of Way,,Public Right Of Way,0.3301 a,,,AANDREWS,2018-07-13T19:57:01.000Z,14379.9975585938,711.619950367285
16,Public Right Of Way,,Public Right Of Way,0.4921 a,,,AANDREWS,2018-07-13T19:57:01.000Z,21437.5456542969,1201.97374555163
17,Public Right Of Way,,Public Right Of Way,4.916 a,,,AANDREWS,2018-07-13T19:57:01.000Z,214197.280273438,7551.3678647843
18,Public Right Of Way,,Public Right Of Way,0.0317 a,,,AANDREWS,2018-07-13T19:57:01.000Z,1379.7333984375,190.640755676249
19,Public Right Of Way,,Public Right Of Way,0.3578 a,,,AANDREWS,2018-07-13T19:57:01.000Z,15585.3032226563,877.217224722916
20,Public Right Of Way,,Public Right Of Way,0.0462 a,,,AANDREWS,2018-07-13T19:57:01.000Z,2012.15795898438,326.934987702182
21,Public Right Of Way,,Public Right Of Way,0.8710 a,,,AANDREWS,2018-07-13T19:57:01.000Z,37939.8403320313,3210.62738261261
22,Public Right Of Way,,Public Right Of Way,1.966 a,,,AANDREWS,2018-07-13T19:57:01.000Z,85635.6611328125,5795.53636195938
23,Public Right Of Way,,Public Right Of Way,24.18 a,,,AANDREWS,2018-07-13T19:57:01.000Z,1053326.9309082,10711.0186293974
24,Public Right Of Way,,Public Right Of Way,5.357 a,,,AANDREWS,2018-07-13T19:57:01.000Z,233371.320800781,5413.37821889094
25,Public Right Of Way,,Public Right Of Way,37.10 a,,,AANDREWS,2018-07-13T19:57:01.000Z,1616284.82177734,29452.6768264434
26,Public Right Of Way,,Public Right Of Way,0.4964 a,,,AANDREWS,2018-07-13T19:57:01.000Z,21625.0334472656,1075.45403233027
27,Public Right Of Way,,Public Right Of Way,27.80 a,,,AANDREWS,2018-07-13T19:57:01.000Z,1211136.28222656,31504.0137967307
28,Public Right Of Way,,Public Right Of Way,0.2009 a,,,AANDREWS,2018-07-13T19:57:01.000Z,8749.99853515625,570.426212388469
29,Public Right Of Way,,Public Right Of Way,1.356 a,,,AANDREWS,2018-07-13T19:57:01.000Z,59071.8002929688,2090.0314079779
30,Public Right Of Way,,Public Right Of Way,0.7490 a,,,AANDREWS,2018-07-13T19:57:01.000Z,32625.3132324219,1073.72375912392
31,Public Right Of Way,,Public Right Of Way,0.8549 a,,,AANDREWS,2018-07-13T19:57:01.000Z,37240.2717285156,1092.8782641725
32,Public Right Of Way,,Public Right Of Way,22.85 a,,,AANDREWS,2018-07-13T19:57:01.000Z,995281.256347656,8796.01029568688
