OBJECTID,TYPE,Status,Comments,Compiler,Date_Modified,Data_Source,Company,Co_Label,Maint_Status,Attribute_Auth,GlobalID,created_user,created_date,last_edited_user,last_edited_date,Shape__Length
1,Railroad Centerline,New,,Sanborn,2011-05-16T00:00:00.000Z,Parcel Data,Lincoln & Southern Railroad,,Done,S. Bradbury,c99a8e02-ac7c-43eb-8f48-a7aaefa30933,GISAdmin,2018-06-22T17:52:23.771Z,GISAdmin,2018-06-22T17:52:23.771Z,83632.485889461
2,Railroad Centerline,New,,Sanborn,2011-05-16T00:00:00.000Z,Parcel Data,Caterpillar,CAT,Done,S. Bradbury,d135ad9b-85f3-428a-a529-c3ba763a545a,GISAdmin,2018-06-22T17:52:23.771Z,GISAdmin,2018-06-22T17:52:23.771Z,2315.77736350132
3,Railroad Centerline,New,,Sanborn,2011-05-16T00:00:00.000Z,Parcel Data,Caterpillar,CAT,Done,S. Bradbury,f6588dc5-9e61-4c71-b2b3-4d3140b4ce8b,GISAdmin,2018-06-22T17:52:23.771Z,GISAdmin,2018-06-22T17:52:23.771Z,782.497654324212
4,Railroad Centerline,New,,Sanborn,2011-05-16T00:00:00.000Z,Parcel Data,Caterpillar,CAT,Done,S. Bradbury,04ece749-7ca9-490b-b48a-fda209d7ce61,GISAdmin,2018-06-22T17:52:23.771Z,GISAdmin,2018-06-22T17:52:23.771Z,838.724880131051
5,Railroad Centerline,New,,Sanborn,2011-05-16T00:00:00.000Z,Parcel Data,Caterpillar,CAT,Done,S. Bradbury,4988bea7-104d-487c-b37c-3255c2dc7583,GISAdmin,2018-06-22T17:52:23.771Z,GISAdmin,2018-06-22T17:52:23.771Z,439.353592383859
6,Railroad Centerline,New,,Sanborn,2011-05-16T00:00:00.000Z,Parcel Data,Caterpillar,CAT,Done,S. Bradbury,0a32cf31-69d1-4bdf-bc3a-7ea5b0e1a826,GISAdmin,2018-06-22T17:52:23.771Z,GISAdmin,2018-06-22T17:52:23.771Z,544.477842204332
7,Railroad Centerline,New,,Sanborn,2011-05-16T00:00:00.000Z,Parcel Data,"Atchison, Topeka and Santa Fe Railroad Company",AT & SF,Done,S. Bradbury,2bcd27f2-dd1d-49b2-9179-ad251fc75f0f,GISAdmin,2018-06-22T17:52:23.771Z,GISAdmin,2018-06-22T17:52:23.771Z,581.324365228971
8,Railroad Centerline,New,Inactive,Sanborn,2011-05-16T00:00:00.000Z,Parcel Data,Wheels O'Time Inc.,,Done,S. Bradbury,9de557f4-53f5-4ad4-821c-c9ad6df68d66,GISAdmin,2018-06-22T17:52:23.771Z,GISAdmin,2018-06-22T17:52:23.771Z,704.35721436962
9,Railroad Centerline,New,,Sanborn,2011-05-16T00:00:00.000Z,Parcel Data,Wheels O'Time Inc.,,Done,S. Bradbury,4859e4ea-37e1-42ca-86c2-24f6c3820681,GISAdmin,2018-06-22T17:52:23.771Z,GISAdmin,2018-06-22T17:52:23.771Z,285.015882855921
10,Railroad Centerline,Existing,,Surdex,2011-05-03T00:00:00.000Z,Parcel Data,"Atchison, Topeka and Santa Fe Railroad Company",AT & SF,Done,S. Bradbury,e1a634f9-b87a-48f5-ae1c-2ed5928bb4fc,GISAdmin,2018-06-22T17:52:23.771Z,GISAdmin,2018-06-22T17:52:23.771Z,1555.55126244683
11,Railroad Centerline,New,,Sanborn,2011-05-10T00:00:00.000Z,Parcel Data,"Atchison, Topeka and Santa Fe Railroad Company",AT & SF,Done,S. Bradbury,a8ead62a-7db8-4e35-b61f-27e699866374,GISAdmin,2018-06-22T17:52:23.771Z,GISAdmin,2018-06-22T17:52:23.771Z,54424.1960320592
12,Railroad Centerline,New,,Sanborn,2011-05-10T00:00:00.000Z,Parcel Data,"Akron Services, Inc.",,Done,S. Bradbury,eed49f13-3f3c-413f-b204-25ab9df9c665,GISAdmin,2018-06-22T17:52:23.771Z,GISAdmin,2018-06-22T17:52:23.771Z,1905.89803285816
13,Railroad Abandoned,Existing,,Surdex,2011-05-03T00:00:00.000Z,Parcel Data,State of llinois Department of Natural Resources,IDNR,Done,S. Bradbury,62907cdf-91ad-4a00-b718-b49d9e06730e,GISAdmin,2018-06-22T17:52:23.771Z,GISAdmin,2018-06-22T17:52:23.771Z,10243.8838462555
14,Railroad Centerline,New,,Sanborn,2011-05-10T00:00:00.000Z,Parcel Data,"Atchison, Topeka and Santa Fe Railroad Company",AT & SF,Done,S. Bradbury,19f60cd1-df7e-41d8-8a39-292d91c640c6,GISAdmin,2018-06-22T17:52:23.771Z,GISAdmin,2018-06-22T17:52:23.771Z,91626.3308813739
15,Railroad Centerline,New,,Sanborn,2011-05-10T00:00:00.000Z,Parcel Data,"Atchison, Topeka and Santa Fe Railroad Company",AT & SF,Done,S. Bradbury,299ae947-9ece-4039-a0c2-15f45b1003f6,GISAdmin,2018-06-22T17:52:23.771Z,GISAdmin,2018-06-22T17:52:23.771Z,959.543192721002
16,Railroad Centerline,New,,Sanborn,2011-05-10T00:00:00.000Z,Parcel Data,"Atchison, Topeka and Santa Fe Railroad Company",AT & SF,Done,S. Bradbury,b2848b67-9075-4a2a-8011-538a04bc7c50,GISAdmin,2018-06-22T17:52:23.771Z,GISAdmin,2018-06-22T17:52:23.771Z,509.830604196365
17,Railroad Abandoned,New,,Sanborn,2011-05-10T00:00:00.000Z,Parcel Data,"Atchison, Topeka and Santa Fe Railroad Company",AT & SF,Done,S. Bradbury,9dfa5f43-19f2-44c7-ac58-c7e2c6f243f8,GISAdmin,2018-06-22T17:52:23.771Z,GISAdmin,2018-06-22T17:52:23.771Z,322.400045430943
18,Railroad Centerline,New,,Sanborn,2011-05-10T00:00:00.000Z,Parcel Data,"Atchison, Topeka and Santa Fe Railroad Company",AT & SF,Done,S. Bradbury,6471f14f-6c56-4f02-ad82-a733dcf246a6,GISAdmin,2018-06-22T17:52:23.771Z,GISAdmin,2018-06-22T17:52:23.771Z,2081.54942170955
19,Railroad Abandoned,New,,Sanborn,2011-05-16T00:00:00.000Z,Parcel Data,"Atchison, Topeka and Santa Fe Railroad Company",AT & SF,Done,S. Bradbury,fc16bf63-52e4-43ca-8d53-47636517e97e,GISAdmin,2018-06-22T17:52:23.771Z,GISAdmin,2018-06-22T17:52:23.771Z,574.391597765527
20,Railroad Abandoned,New,,Sanborn,2011-05-09T00:00:00.000Z,Parcel Data,"Atchison, Topeka and Santa Fe Railroad Company",AT & SF,Done,S. Bradbury,736e9b06-8baa-4160-bfc3-9cac1472e810,GISAdmin,2018-06-22T17:52:23.771Z,GISAdmin,2018-06-22T17:52:23.771Z,381.312414954253
21,Railroad Centerline,New,,Sanborn,2011-05-16T00:00:00.000Z,Parcel Data,"Atchison, Topeka and Santa Fe Railroad Company",AT & SF,Done,S. Bradbury,310dc752-98b7-4bb8-bacd-bec5aec2762c,GISAdmin,2018-06-22T17:52:23.771Z,GISAdmin,2018-06-22T17:52:23.771Z,1041.93285663489
22,Railroad Centerline,New,,Sanborn,2011-05-16T00:00:00.000Z,Parcel Data,"Atchison, Topeka and Santa Fe Railroad Company",AT & SF,Done,S. Bradbury,76a7b4b1-cef1-4e23-a1ca-1ef97f18def2,GISAdmin,2018-06-22T17:52:23.771Z,GISAdmin,2018-06-22T17:52:23.771Z,2439.54238829827
23,Railroad Centerline,New,,Sanborn,2011-05-16T00:00:00.000Z,Parcel Data,"Atchison, Topeka and Santa Fe Railroad Company",AT & SF,Done,S. Bradbury,72f42d09-754d-46e5-9d91-e5494424d700,GISAdmin,2018-06-22T17:52:23.771Z,GISAdmin,2018-06-22T17:52:23.771Z,7143.87249585532
24,Railroad Centerline,New,,Sanborn,2011-05-16T00:00:00.000Z,Parcel Data,"Atchison, Topeka and Santa Fe Railroad Company",AT & SF,Done,S. Bradbury,92a1b856-6143-499f-90c8-a93a0d0c2c0d,GISAdmin,2018-06-22T17:52:23.771Z,GISAdmin,2018-06-22T17:52:23.771Z,10472.2655516978
25,Railroad Centerline,New,,Sanborn,2011-05-16T00:00:00.000Z,Parcel Data,"Atchison, Topeka and Santa Fe Railroad Company",AT & SF,Done,S. Bradbury,bfd45461-09aa-4689-8cc6-146475b9d4e1,GISAdmin,2018-06-22T17:52:23.771Z,GISAdmin,2018-06-22T17:52:23.771Z,213.784665310023
26,Railroad Centerline,New,,Sanborn,2011-05-16T00:00:00.000Z,Parcel Data,"Atchison, Topeka and Santa Fe Railroad Company",AT & SF,Done,S. Bradbury,89fce7c4-b423-4818-975c-53f9c760da71,GISAdmin,2018-06-22T17:52:23.771Z,GISAdmin,2018-06-22T17:52:23.771Z,12570.1092355474
27,Railroad Centerline,New,,Sanborn,2011-05-16T00:00:00.000Z,Parcel Data,"Atchison, Topeka and Santa Fe Railroad Company",AT & SF,Done,S. Bradbury,ae24d0f4-5fc3-4089-a553-9041ff4d3425,GISAdmin,2018-06-22T17:52:23.771Z,GISAdmin,2018-06-22T17:52:23.771Z,1867.62316554242
28,Railroad Centerline,New,,Sanborn,2011-05-16T00:00:00.000Z,Parcel Data,"Atchison, Topeka and Santa Fe Railroad Company",AT & SF,Done,S. Bradbury,7e54c1ec-a347-4c3b-9965-a3be9de88092,GISAdmin,2018-06-22T17:52:23.771Z,GISAdmin,2018-06-22T17:52:23.771Z,2115.68302967501
29,Railroad Centerline,Existing,,Surdex,2011-05-03T00:00:00.000Z,Parcel Data,Burlington Northern & Santa Fe Railway Company,BN & SF,Done,S. Bradbury,55476f35-16da-4d2e-9b5a-886a5f394a21,GISAdmin,2018-06-22T17:52:23.771Z,GISAdmin,2018-06-22T17:52:23.771Z,76928.0395610865
