OBJECTID,Unit_Code,Tax_Year,District_Name,GlobalID,Shape__Area,Shape__Length
1,064,2017,RD & BR AKRON (Dist # 064),400b404b-7e61-4198-8f05-67a889a42f63,1016614742.66284,128045.854238048
2,078,2017,RD & BR BRIMFIELD (Dist # 078),b617b1c5-febb-494e-a9d5-a3e0f3edd36e,1016412946.63037,127847.822230518
3,095,2017,RD & BR CHILLICOTHE (Dist # 095),5ad66ad1-dd5c-4f36-bff1-032538cc2ca3,533659650.30127,142050.470160348
4,157,2017,RD & BR ELMWOOD (Dist # 157),fab91e47-6410-428a-a555-fc3e74c8a79e,1017597631.83325,127846.646138704
5,195,2017,RD & BR HALLOCK (Dist # 195),9bf22e12-03bb-46d7-ba0e-6bb0ce2a57fa,1007168637.46826,127278.364931626
6,220,2017,RD & BR HOLLIS (Dist # 220),76ae018d-9f8e-4cfb-8b23-ce6581ff88db,679625585.570557,114760.136459607
7,227,2017,RD & BR JUBILEE (Dist # 227),5de2169c-57bf-4cdf-90ef-1e7e1b936c2e,1011031426.33911,127602.236153438
8,237,2017,RD & BR KICKAPOO (Dist # 237),aa66bf31-18e0-446a-86ee-b992f73be863,898888583.917969,196810.718725049
9,248,2017,RD & BR LIMESTONE (Dist # 248),d0fce970-9de2-45ab-a59d-c3616521abea,1005555750.00977,141811.884484776
10,262,2017,RD & BR LOGAN (Dist # 262),6ba361a9-6d2a-4aab-b309-5e7b23915d77,1019255024.30469,135594.816933426
11,280,2017,RD & BR MEDINA (Dist # 280),421f846b-5c11-404c-bbbc-7ced7cc241de,806091365.511719,189827.534958139
12,288,2017,RD & BR MILLBROOK (Dist # 288),d809513f-1620-4adc-9504-5ba9d5f97d4e,1021278361.2334,127973.077732242
13,330,2017,RD & BR PRINCEVILLE (Dist # 330),dd2c4fcb-acda-46c7-b776-c2094b11ff4d,1014802347.75854,127790.097326907
14,344,2017,RD & BR RADNOR (Dist # 344),be04639d-0b0e-4a02-a5ae-6de4b2c6eed3,1027196410.91138,128959.91046653
15,364,2017,RD & BR ROSEFIELD (Dist # 364),093ef876-2b2c-4da6-8aa0-2c2963d4d7df,1018343166.39111,127788.706590636
16,375,2017,RD & BR TIMBER (Dist # 375),dce0701b-9760-4c16-8241-f29abcc52302,1013566522.76245,154487.037147255
17,393,2017,RD & BR TRIVOLI (Dist # 393),097c5456-d431-418b-ab21-6d7720ff35b7,1002958234.50928,126706.088229637
