X,Y,OBJECTID,SCHOOL,CITY_1,ST,address,ORIG_FID
2483660.214400839060545,1546709.292812757194042,1,ABC Day Care Center,Chillicothe,IL,301 W Maple,1
2457386.9004777520895,1468083.909053340554237,2,Academy of Our Lady Convent,Peoria,IL,412 NE Madison,2
2451725.107339419424534,1468211.968836590647697,3,Adult Education Center,Peoria,IL,839 W Moss,3
2410628.651146668940783,1495625.726344928145409,4,Area Ill Learning Tech Center,Edwards,IL,10112 W Dubois Rd,4
2445306.61919217184186,1520828.718917846679688,5,Banner Elementary School,Dunlap,IL,12610 N Allen Rd,5
2443689.64965708553791,1467509.959741927683353,6,Calvin Coolidge Middle School,Peoria,IL,2708 W Rohmann Av,6
2445164.94231016933918,1504416.968604929745197,7,CDLTraining Services & Consulting,Peoria,IL,8914 N Prairie Pointe,7
2455628.149074003100395,1474405.711042262613773,8,Children's Home/Kiefer School,Peoria,IL,2130 N Knoxville,8
2481745.282535169273615,1549905.225069180130959,9,Chillicothe Elementary Center,Chillicothe,IL,914 W Truitt,9
2453840.349171921610832,1476316.044163845479488,10,Columbia Middle School,Peoria,IL,2612 N Bootz Av,10
2447281.209731169044971,1486081.06498809158802,11,Concordia Lutheran School,Peoria,IL,2000 W Glen,11
2446703.92512458562851,1489886.051144510507584,12,Developmental Center Peoria Public Schools,Peoria,IL,2018 W Cimmarron Dr,12
2458223.918160669505596,1479137.33346875756979,13,Diagnostic Learning Center,Peoria,IL,3202 N Wisconsin Ave,13
2456554.149846669286489,1465942.425475426018238,14,Downtown Child Care Center,Peoria,IL,124 SW Adams,14
2432755.962535005062819,1526858.227528095245361,15,Dunlap Grade School,Dunlap,IL,301 SW First St,15
2432414.372010838240385,1525664.874927923083305,16,Dunlap High School,Dunlap,IL,5220 W Legion Hall Rd,16
2432422.417270336300135,1524418.437788262963295,17,Dunlap Middle School,Dunlap,IL,5200 W Cedar Hills,17
2437607.775009837001562,1492524.931037344038486,18,El Vista Baptist Academy,Peoria,IL,6301 N Syler St,18
2351060.937933254987001,1499158.737323507666588,19,Elmwood Elementary School,Elmwood,IL,601 N Morgan St,19
2351057.297848671674728,1498505.594272844493389,20,Elmwood Junior Senior High School,Elmwood,IL,301 W Butternut St,20
2445744.989378418773413,1504059.68519876152277,21,Everyday Discoveries Preschool & Daycare,Peoria,IL,8823 N Industrial Rd,21
2452174.57625675201416,1470782.233053006231785,22,Franklin Edison Primary School,Peoria,IL,807 W Columbia Terrac,22
2446160.842549338936806,1459097.001502260565758,23,Garfield Primary School,Peoria,IL,1507 S Lydia Av,23
2459033.969690170139074,1469218.511114843189716,24,Greeley Alternative School,Peoria,IL,919 NE Jefferson St,24
2454553.941248670220375,1485296.999955177307129,25,Hines Primary School,Peoria,IL,4603 N Knoxville Av,25
2430921.375981088727713,1436340.606726422905922,26,Hollis Grade School,Peoria,IL,5613 W Tuscarora Rd,26
2429318.302415587007999,1462556.147799178957939,27,Holy Cross Preschool & Child Care,Peoria,IL,618 S Maxwell Rd,27
2456100.791173338890076,1466158.2810148447752,28,Illinois Central College - Adams,Peoria,IL,201 SW Adams St,28
2448179.265021670609713,1488490.616599425673485,29,Illinois Central College - University,Peoria,IL,5407 N University,29
2440328.975604169070721,1451125.404584594070911,30,Illinois Welding School,Bartonville,IL,5901 Washington St,30
2454418.965468753129244,1493197.951016761362553,31,Keller East Primary School,Peoria,IL,6414 N Mt Hawley Rd,31
2460644.115091919898987,1478732.164331592619419,32,Kims Academy of Dance,Peoria,IL,3117 N Prospect Rd,32
2450627.572789087891579,1480626.048011012375355,33,Kindercare Learning Centers,Peoria,IL,1125 W Florence Ave,33
2413935.329244587570429,1428437.40140426158905,34,Lamarsh Baptist School,Mapleton,IL,9507 W Mapleridge,34
2419325.880471337586641,1453510.060248345136642,35,Limestone Walters Elementary School,Peoria,IL,8223 W Smithville Rd,35
2452032.125098086893559,1492866.455616757273674,36,Lindbergh Middle School,Peoria,IL,6327 N Sheridan Rd,36
2448257.178251668810844,1510792.41714009642601,37,Little Friends Learning Center,Peoria,IL,1715 W Alta Rd,37
2449705.407966755330563,1476142.234472095966339,38,Loucks Edison Junior Academy,Peoria,IL,2503 N University St,38
2444110.367975752800703,1461884.708853341639042,39,Manual High School,Peoria,IL,811 S Griswold St,39
2436357.921866502612829,1491495.072532758116722,40,Mark Bills Middle School,Peoria,IL,6001 N Frostwood Pkwy,40
2453907.796871669590473,1491921.458491012454033,41,Midstate College,Peoria,IL,411 W Northmoor Rd,41
2433338.511894837021828,1455276.183356508612633,42,Monroe Elementary Grade School,Bartonville,IL,5137 W Cisna Rd,42
2447691.657073002308607,1492020.60002501308918,43,Northmoor Edison Primary School,Peoria,IL,1819 W Northmoor Rd,43
2452142.347646672278643,1487139.59994450956583,44,Notre Dame High School,Peoria,IL,5105 N Sheridan Rd,44
2445345.689652089029551,1497306.410975679755211,45,Pals Pre School & Kindergarten - Willow Knolls,Peoria,IL,2327 W Willow Knolls Rd,45
2447057.844364255666733,1499492.164478175342083,46,Pals Pre School & Kindergarten - Pioneer Pkwy,Peoria,IL,2000 W Pioneer Pkwy,46
2443762.022215753793716,1497655.735080175101757,47,Peoria Academy,Peoria,IL,2711 W Willow Knolls Rd,47
2450459.695828255265951,1489731.053423009812832,48,Peoria Hebrew Day School - University,Peoria,IL,5614 N University,48
2453058.388137418776751,1480820.789419427514076,49,Peoria Hebrew Day School - Sheridan,Peoria,IL,3616 N Sheridan,49
2453606.68953425437212,1471958.614886596798897,50,Peoria High School,Peoria,IL,1615 N North St,50
2427104.47383800521493,1465376.527000926434994,51,Peoria Juvenile Detention Center,Peoria,IL,223 N Maxwell Rd,51
2455251.125549837946892,1482565.421100758016109,52,Peoria Seventh Day Adventist School,Peoria,IL,4019 N Knoxville Av,52
2413106.80465492233634,1501649.150977842509747,53,Peter Rabbit Day Care Center,Edwards,IL,9618 W Route 150,53
2441041.420373503118753,1479554.878237344324589,54,Pleasant Valley Middle School,Peoria,IL,3314 W Richwoods Blvd,54
2411135.047115504741669,1554487.214592844247818,55,Princeville Elementary School,Princeville,IL,602 N Town Ave,55
2411160.853166252374649,1553868.021605506539345,56,Princeville High School,Princeville,IL,302 Cordis Av,56
2460385.037526085972786,1485539.986673928797245,57,Rexford Dance Studio,Peoria Heigh,IL,1216 E Duryea,57
2438608.169990669935942,1500575.65378101170063,58,Ridgeview Elementary School,Dunlap,IL,3903 W Ridgeview Dr,58
2456202.503896418958902,1465891.35438334196806,59,Robert Morris College Peoria Campus,Peoria,IL,211 Fulton St,59
2448972.549852419644594,1499075.447463840246201,60,Rogys Learning Place - Candletree,Peoria,IL,1523 W Candletree Dr,60
2438900.697292752563953,1491943.021768093109131,61,Rogys Learning Place - Big Hollow,Peoria,IL,6101 N Big Hollow,61
2458154.689952671527863,1483567.795080259442329,62,Rogys Learning Place - E Lake,Peoria,IL,702 E Lake,62
2435655.160148669034243,1469112.736063927412033,63,Rogys Learning Place - Hilltop,Peoria,IL,1010 Hilltop Rd,63
2458650.099066838622093,1472031.579635679721832,64,Rogys Learning Place - Glen Oak,Peoria,IL,1221 NE Glen Oak,64
2448356.145573422312737,1464943.969795174896717,65,Roosevelt Magnet School,Peoria,IL,1704 W Aiken Av,65
2447964.912103921175003,1481765.210102759301662,66,Salem Lutheran Church ELCA,Peoria,IL,1700 W War Memorial Dr,66
2457704.993345502763987,1467510.025686673820019,67,Salvation Army Child Care,Peoria,IL,210 Spalding,67
2482299.17840900272131,1547058.409896679222584,68,South Elementary School,Chillicothe,IL,616 W Hickory St,68
2483847.944012254476547,1550095.044571429491043,69,St Edward School,Chillicothe,IL,1221 N Fifth,69
2456669.030522421002388,1470195.081012092530727,70,St Francis Medical Center College of Nursing,Peoria,IL,511 N E Greenleaf St,70
2411839.725168086588383,1501311.244829513132572,71,St Marys Parish School,Kickapoo,IL,9910 W Knox St,71
2451000.681294836103916,1464168.296805843710899,72,St Patricks Convent,Peoria,IL,225 S Saratoga,72
2449199.087785169482231,1483978.996685676276684,73,St Pauls Lutheran Preschool,Peoria,IL,1427 W Lake,73
2451511.490640670061111,1479484.646094344556332,74,St Philomena Catholic School,Peoria,IL,3216 N Emery Av,74
2444169.679865002632141,1475363.408601924777031,75,Sterling Middle School,Peoria,IL,2315 N Sterling Av,75
2447182.527513835579157,1498076.680760592222214,76,Sylvan Learning Center,Peoria,IL,7501 N University,76
2451309.460532922297716,1480132.354772679507732,77,Thomas Jefferson Primary School,Peoria,IL,918 W Florence Av,77
2454157.510939169675112,1468420.941515758633614,78,University of Illinois College of Medicine,Peoria,IL,1 Illinois Dr,78
2452105.024886671453714,1466680.845914594829082,79,Valeska Hinton Early Childhood Education Center,Peoria,IL,800 W Romeo B Garrett,79
2462412.381896588951349,1481222.452986173331738,80,Washington Gifted School,Peoria,IL,3706 N Grand Blvd,80
