OBJECTID,CNVYNAME,CNVYDSGNTR,SOURCEREF,CNVYTYP,CNVYACRG,LASTUPDATE,STATEDAREA,created_user,created_date,last_edited_user,last_edited_date,SCAN_NAME,PLATBOOK,PAGE,Shape__Area,Shape__Length
3001,WOODSIDE PARK EXT'N ONE,,,Subdivision,,,2.368 a,,,AANDREWS,2018-07-13T19:56:44.000Z,PlatsAfterConversion\Woodside Park Ext'n One.pdf,"2014-02519, 13-23",,103132.124267578,1319.25894361111
3002,WOODSIDE PARK,,,Subdivision,,,1.159 a,,,AANDREWS,2018-07-13T19:56:44.000Z,PlatsAfterConversion\Woodside Park.pdf,"2013-13906, 12-127",,50496.4123535156,1188.6830800806
3003,HICKORY GROVE ESTATES SECTION 1,,,Subdivision,,,15.17 a,,,AANDREWS,2018-07-13T19:56:44.000Z,NewSubs\hickory grove estates sec 1.jpg                                                                                                                                                                                                                        ,,,660808.497070313,3384.21144174169
3004,HICKORY GROVE ESTATES SECTION 2,,,Subdivision,,,6.137 a,,,AANDREWS,2018-07-13T19:56:44.000Z,NewSubs\hickory grove estates sec 2-1.jpg,,,267341.641845703,2606.43837969535
3005,HICKORY GROVE ESTATES SECTION 2,,,Subdivision,,,14.12 a,,,AANDREWS,2018-07-13T19:56:44.000Z,NewSubs\hickory grove estates sec 2-2.jpg                                                                                                                                                                                                                      ,,,615159.094238281,3920.38037519251
3006,KINGDON'S 1ST ADD.,,,Subdivision,,,2.446 a,,,AANDREWS,2018-07-13T19:56:44.000Z,NewSubs\kingdons first additon.jpg                                                                                                                                                                                                                             ,,,106540.428222656,1948.29347782321
3007,LAKE OF THE WOODS ESTATES,,,Subdivision,,,22.02 a,,,AANDREWS,2018-07-13T19:56:44.000Z,Researched Plats\lake of the woods estates.jpg                                                                                                                                                                                                                 ,,,959132.314941406,5784.20517802021
3008,RENCHVILLE SUB.,,,Subdivision,,,0.5607 a,,,AANDREWS,2018-07-13T19:56:44.000Z,roll3\00000255.jpg                                                                                                                                                                                                                                             ,,,24424.1984863281,1223.70312480875
3009,HICKORY GROVE ESTATES SECTION 3,,,Subdivision,,,11.51 a,,,AANDREWS,2018-07-13T19:56:44.000Z,NewSubs\hickory grove estates sec 3.jpg                                                                                                                                                                                                                        ,,,501516.171142578,3665.45197549582
3010,LAKE OF THE WOODS ESTATES 1ST EXTENSION,,,Subdivision,,,10.05 a,,,AANDREWS,2018-07-13T19:56:44.000Z,Researched Plats\lake of the woods est. ext. 1.jpg                                                                                                                                                                                                             ,,,437583.712158203,3843.04565781028
3011,HICKORY GROVE PARK,,,Subdivision,,,2.819 a,,,AANDREWS,2018-07-13T19:56:44.000Z,NewSubs\hickory grove park.jpg                                                                                                                                                                                                                                 ,,,122819.022460938,1702.98320469456
3012,LAKE OF THE WOODS ESTATES 2ND EXTENSION,,,Subdivision,,,5.496 a,,,AANDREWS,2018-07-13T19:56:44.000Z,Researched Plats\lake of th woods est. 2nd ext..jpg                                                                                                                                                                                                            ,,,239374.856445313,2629.69080410992
3013,LAKE OF THE WOODS ESTATES 5TH EXTENSION,,,Subdivision,,,10.94 a,,,AANDREWS,2018-07-13T19:56:44.000Z,roll4\00000009.jpg,,,476363.231933594,4340.9071150333
3014,LAKE OF THE WOODS ESTATES 3RD EXTENSION,,,Subdivision,,,21.91 a,,,AANDREWS,2018-07-13T19:56:44.000Z,Researched Plats\lake of the woods est. 3rd ext.jpg                                                                                                                                                                                                            ,,,954465.184570313,6075.64200509827
