OBJECTID,Unit_Code,Tax_Year,District_Name,GlobalID,Shape__Area,Shape__Length
28,985,2017,2005 BELLEVUE TIF II (Dist # 985),1335fca5-a352-4cfd-915c-c88fd7b83762,10609462.5795898,39090.9142143597
29,971,2017,BOSCH ROAD TIF (Dist # 971),e8d66dd2-2c1b-49c6-a475-4f956a16f739,2627500.92700195,6946.06610418334
30,121,2017,CENTRAL BUS/RIVERFRNT TIF (Dist # 121),fa7eddb7-c5ba-4373-b21a-d2eb9fe7a395,3364000.66821289,21209.8639048764
31,993,2017,CENTRAL BUSINESS TIF (Dist # 993),bcf1370c-d7f5-4eeb-8caf-b64becd72a27,1449471.54296875,5914.6249182786
32,997,2017,CHILLICOTHE TIF (Dist # 997),6fedb0f6-5845-4802-8580-566de72a784b,3131489.49023438,15343.1817996854
33,975,2017,DOWNTOWN CONSERVATION TIF (Dist # 975),6967db1c-3f1e-4837-8f65-4cdb9ab9aa92,3319341.33911133,11607.4038141989
34,984,2017,EAGLE VIEW TIF DISTRICT (Dist # 984),1a90db42-1635-41dd-9b2e-8aeec2c209e2,35958900.6328125,38291.2184931402
35,980,2017,EAST VILLAGE TIF (Dist # 980),cc7a5f25-a955-4427-8b85-76d6151d51f8,29380582.6481934,33862.3346027102
36,978,2017,ELMWOOD CENTRAL BUSINESS TIF (Dist # 978),f299f4e4-2206-4782-a32d-5b0aa26b33fc,806220.499023438,5609.57601859941
37,990,2017,ELMWOOD TIF NO. 1 (Dist # 990),c996eb79-6dc5-44b0-ad0b-25f65fa6370b,4294545.30541992,14703.4545952562
38,981,2017,HOSPITALITY TIF (Dist # 981),e502b225-a909-422a-a947-597be5069ea9,1225136.90014648,7823.3459796677
39,982,2017,LEISY-PABST TIF (Dist # 982),53053a54-edc8-446f-b661-ca81ac43abf8,1398772.09765625,11077.9856955595
40,991,2017,MID TWN PLAZA TIF (Dist # 991),0a86081f-faeb-44e9-b5f5-0e987ab12aad,452028.038818359,2889.99279669535
41,988,2017,NORTH RIVER TIF (Dist # 988),ffc670fa-061c-4fe1-9774-4df8606d0086,2789615.8269043,10472.4467807868
42,992,2017,NORTHSIDE BUSINESS PK TIF (Dist # 992),bbe2b2b7-7660-401d-8fe9-6796b1a8394c,6668087.61425781,23848.5584073715
43,973,2017,PEORIA HEIGHTS TIF DISTRICT 1 (Dist # 973),2349d10f-24d2-4675-88c4-6c2acc7ec9d2,3230822.49462891,25168.1974877799
44,972,2017,PEORIA HEIGHTS TIF DISTRICT 2 (Dist # 972),8ba81496-4dc6-471b-bbed-fe0ff5b2b890,1078547.15454102,5522.72786946279
45,987,2017,PEORIA STADIUM TIF (Dist # 987),182ed4ff-9071-48cb-b0df-4fab9b38fa53,299765.414306641,2175.14661129289
46,999,2017,PRINCEVILLE-BROCKWAY TIF (Dist # 999),b33bae6c-ebf3-47e4-9c84-b9034d20c233,7284589.13647461,12610.2195099595
47,989,2017,PRINCEVILLE TIF (Dist # 989),c0c31dd4-a236-4f46-bc16-9c5809504513,19501046.7932129,60240.8034545974
48,977,2017,PRINCEVILLE TIF III (Dist # 977),9e2dd7a5-8770-4598-98e2-89f30458ce1f,3439746.50195313,15771.8221060132
49,974,2017,RIVER TRAIL TIF (Dist # 974),a76d391e-6b72-42b9-8445-1d4bf2d716a2,849241.310058594,6615.53434463956
50,976,2017,SOUTH VILLAGE TIF (Dist # 976),07e5488a-1d64-42d4-8f8a-309236666d3d,28970058.6362305,28150.2481322779
51,998,2017,THE STARR LANE BELLEVUE TIF (Dist # 998),62ddd11f-9297-4439-b698-0c38982bee41,2493676.89111328,6868.04110726629
52,983,2017,WAREHOUSE DISTRICT TIF (Dist # 983),2a43cd85-5b26-4c18-a1b9-49b305b33b13,9391840.81420898,19310.9057186846
53,986,2017,WEST PEORIA 2005 TIF (Dist # 986),f8e8c307-bcb6-4270-ada4-6ff6adf0c614,10393595.9699707,47139.0330109217
54,979,2017,WEST PEORIA TIF II (Dist # 979),16c1f8b8-b0c7-4b89-9b8c-ba6aa645c8b3,14298742.637207,29555.4957788552
