OBJECTID,CommunityCollege,Cemetery,County,Municipality,FireProtection,MassTransit,MTAD,Park,Road,Sanitary,StreetLight,DevnetTIF,Township,SpecialService,AirportAuthority,SoilWater,Water,Library,GradeSchool,UnifiedSchool,HighSchool,GradeWeb,UnifiedWeb,HighWeb,CCWeb,MuniWeb,TownshipWeb,LibraryWeb,ParkWeb,FireWeb,MTDWeb,SanitaryWeb,AirportWeb,CountyWeb,Tax_Code,Unit_Code,Tax_Year,Rate,GlobalID,Shape__Area,Shape__Length
697,I C C J C #514 (Dist # 030),,PEORIA COUNTY (Dist # 001),,BRIMFIELD FPD (Dist # 084),,BRIMFIELD/MILLBROOK MTAD (Dist # 003),,RD & BR BRIMFIELD (Dist # 078),,,,BRIMFIELD TWP (Dist # 075),,GREATER METRO AIRPORT AUTH (Dist # 174),PEORIA COUNTY SOIL & WATER (Dist # 009),,WMSFIELD LBRY DIST (Dist # 520),,WMSFIELD USD #210 (Dist # 680),,,http://www.billtown.org/,,http://www.icc.edu,,,http://www.wpld.org,,http://www.brimfield-community-fpd.org,,,http://www.flypia.com,http://www.peoriacounty.org,860,"001,003,009,030,075,078,084,174,520,680",2017,6.41494,9d3764f0-f06b-40ab-b9b5-cfdfdd590816,2629022.06518555,7964.81098038897
698,I C C J C #514 (Dist # 030),,PEORIA COUNTY (Dist # 001),,WILLIAMSFIELD FPD (Dist # 515),,BRIMFIELD/MILLBROOK MTAD (Dist # 003),,RD & BR BRIMFIELD (Dist # 078),,,,BRIMFIELD TWP (Dist # 075),,GREATER METRO AIRPORT AUTH (Dist # 174),PEORIA COUNTY SOIL & WATER (Dist # 009),,WMSFIELD LBRY DIST (Dist # 520),,WMSFIELD USD #210 (Dist # 680),,,http://www.billtown.org/,,http://www.icc.edu,,,http://www.wpld.org,,,,,http://www.flypia.com,http://www.peoriacounty.org,856,"001,003,009,030,075,078,174,515,520,680",2017,6.49756,a50e296b-2673-48fb-b068-1bc5eaba31bc,7907253.97802734,16580.5009916033
699,I C C J C #514 (Dist # 030),,PEORIA COUNTY (Dist # 001),,RICHWOODS FPD (Dist # 355),,,,,GREATER PEO SAN DIST (Dist # 184),,,RICHWOODS TWP (Dist # 350),,GREATER METRO AIRPORT AUTH (Dist # 174),PEORIA COUNTY SOIL & WATER (Dist # 009),,DUNLAP LBRY DIST (Dist # 150),,DUNLAP CUSD #323 (Dist # 740),,,http://www.dunlapcusd.net,,http://www.icc.edu,,https://www.toi.org/Townships/Peoria_County/Richwoods_Township/Richwoods-Township,http://www.dunlaplibrary.org,,,,http://gpsd.dst.il.us,http://www.flypia.com,http://www.peoriacounty.org,203,"001,009,030,150,174,184,350,355,740",2017,6.67513,d82b173a-9a8d-498d-9bb2-fab921ca06c0,6008242.75195313,14327.8172040923
700,I C C J C #514 (Dist # 030),,PEORIA COUNTY (Dist # 001),,WILLIAMSFIELD FPD (Dist # 515),,BRIMFIELD/MILLBROOK MTAD (Dist # 003),,RD & BR MILLBROOK (Dist # 288),,,,MILLBROOK TWP (Dist # 285),,GREATER METRO AIRPORT AUTH (Dist # 174),PEORIA COUNTY SOIL & WATER (Dist # 009),,WMSFIELD LBRY DIST (Dist # 520),,WMSFIELD USD #210 (Dist # 680),,,http://www.billtown.org/,,http://www.icc.edu,,,http://www.wpld.org,,,,,http://www.flypia.com,http://www.peoriacounty.org,805,"001,003,009,030,174,285,288,515,520,680",2017,7.00492,290fd833-e223-47ef-aea2-92cd4c01b353,78544319.0114746,77771.992664541
701,I C C J C #514 (Dist # 030),,PEORIA COUNTY (Dist # 001),,DUNLAP FPD (Dist # 148),,,,RD & BR RADNOR (Dist # 344),,,,RADNOR TWP (Dist # 340),,GREATER METRO AIRPORT AUTH (Dist # 174),PEORIA COUNTY SOIL & WATER (Dist # 009),,DUNLAP LBRY DIST (Dist # 150),,DUNLAP CUSD #323 (Dist # 740),,,http://www.dunlapcusd.net,,http://www.icc.edu,,,http://www.dunlaplibrary.org,,http://www.dunlapfire.com,,,http://www.flypia.com,http://www.peoriacounty.org,500,"001,009,030,148,150,174,340,344,740",2017,7.02739,0e429ae5-d967-4f29-8f0b-7520ea9ce821,624442487.692871,211664.836627274
702,I C C J C #514 (Dist # 030),,PEORIA COUNTY (Dist # 001),,DUNLAP FPD (Dist # 148),,,,RD & BR RADNOR (Dist # 344),GREATER PEO SAN DIST (Dist # 184),,,RADNOR TWP (Dist # 340),,GREATER METRO AIRPORT AUTH (Dist # 174),PEORIA COUNTY SOIL & WATER (Dist # 009),,DUNLAP LBRY DIST (Dist # 150),,DUNLAP CUSD #323 (Dist # 740),,,http://www.dunlapcusd.net,,http://www.icc.edu,,,http://www.dunlaplibrary.org,,http://www.dunlapfire.com,,http://gpsd.dst.il.us,http://www.flypia.com,http://www.peoriacounty.org,504,"001,009,030,148,150,174,184,340,344,740",2017,7.02739,e32a5d5b-732b-421f-a117-25b740812ff2,3460720.9140625,7875.7805417917
703,I C C J C #514 (Dist # 030),,PEORIA COUNTY (Dist # 001),,DUNLAP FPD (Dist # 148),,,,RD & BR RADNOR (Dist # 344),,,,RADNOR TWP (Dist # 340),,GREATER METRO AIRPORT AUTH (Dist # 174),PEORIA COUNTY SOIL & WATER (Dist # 009),,DUNLAP LBRY DIST (Dist # 150),,DUNLAP CUSD #323 (Dist # 740),,,http://www.dunlapcusd.net,,http://www.icc.edu,,,http://www.dunlaplibrary.org,,http://www.dunlapfire.com,,,http://www.flypia.com,http://www.peoriacounty.org,505,"001,009,030,148,150,174,340,344,740",2017,7.02739,3f009f50-754b-4311-89cd-cd3f8dafeb85,297895577.534912,135767.816844418
704,I C C J C #514 (Dist # 030),,PEORIA COUNTY (Dist # 001),,DUNLAP FPD (Dist # 148),,,,RD & BR KICKAPOO (Dist # 237),,,,KICKAPOO TWP (Dist # 235),,GREATER METRO AIRPORT AUTH (Dist # 174),PEORIA COUNTY SOIL & WATER (Dist # 009),,DUNLAP LBRY DIST (Dist # 150),,DUNLAP CUSD #323 (Dist # 740),,,http://www.dunlapcusd.net,,http://www.icc.edu,,,http://www.dunlaplibrary.org,,http://www.dunlapfire.com,,,http://www.flypia.com,http://www.peoriacounty.org,254,"001,009,030,148,150,174,235,237,740",2017,7.03548,91e465d2-bba2-4c30-899e-81dd2fff60e3,51484576.5368652,86765.2904071954
705,I C C J C #514 (Dist # 030),,PEORIA COUNTY (Dist # 001),,DUNLAP FPD (Dist # 148),,,,RD & BR KICKAPOO (Dist # 237),GREATER PEO SAN DIST (Dist # 184),,,KICKAPOO TWP (Dist # 235),,GREATER METRO AIRPORT AUTH (Dist # 174),PEORIA COUNTY SOIL & WATER (Dist # 009),,DUNLAP LBRY DIST (Dist # 150),,DUNLAP CUSD #323 (Dist # 740),,,http://www.dunlapcusd.net,,http://www.icc.edu,,,http://www.dunlaplibrary.org,,http://www.dunlapfire.com,,http://gpsd.dst.il.us,http://www.flypia.com,http://www.peoriacounty.org,255,"001,009,030,148,150,174,184,235,237,740",2017,7.03548,c9adcd8c-5220-4b1e-a4f4-75c7b13cd8e9,12708489.0244141,34784.6084369864
706,I C C J C #514 (Dist # 030),,PEORIA COUNTY (Dist # 001),,BRIMFIELD FPD (Dist # 084),,,,RD & BR KICKAPOO (Dist # 237),,,,KICKAPOO TWP (Dist # 235),,GREATER METRO AIRPORT AUTH (Dist # 174),PEORIA COUNTY SOIL & WATER (Dist # 009),ROUTE 150 WATER DISTRICT (Dist # 008),DUNLAP LBRY DIST (Dist # 150),,DUNLAP CUSD #323 (Dist # 740),,,http://www.dunlapcusd.net,,http://www.icc.edu,,,http://www.dunlaplibrary.org,,http://www.brimfield-community-fpd.org,,,http://www.flypia.com,http://www.peoriacounty.org,296,"001,008,009,030,084,150,174,235,237,740",2017,7.11805,6d877cfa-8ad8-42d3-91a4-c138d157596a,9864190.51391602,12905.8802426887
