OBJECTID,Unit_Code,Tax_Year,District_Name,WebSite,GlobalID,Shape__Area,Shape__Length
23,690,2017,BRIMFIELD USD #309 (Dist # 690),http://www.brimfield309.com,8969de71-824a-4020-94b2-7ccdd02ad7f6,2091993090.01538,346889.845134246
24,720,2017,CHIL IVC USD #321 (Dist # 720),http://www.ivcschools.com,e333bf7e-9450-4c1d-a0e2-3f2b97dca2ab,1671532187.39502,273112.668858411
25,740,2017,DUNLAP CUSD #323 (Dist # 740),http://www.dunlapcusd.net,46515d14-1206-446d-92c6-0b3fc90264f8,1890909015.84033,230437.457954349
26,730,2017,ELMWOOD USD #322 (Dist # 730),http://www.elmwood322.com,78aedeeb-a1a7-4a5e-b476-534b21fef085,2039755660.76489,314934.097689753
27,890,2017,FARM-CEN CUSD #265 (Dist # 890),http://www.dist265.com,c4fd488d-5526-4512-8397-3cc687d54496,2130323262.30762,233578.642350811
28,780,2017,ILLINI BLF CUSD #327 (Dist # 780),http://www.illinibluffs.com,94c36ff6-6d38-4e13-bc19-270dfc224d5a,1606424917.49585,226422.72806795
29,760,2017,PEO HTS CUSD #325 (Dist # 760),http://www.phcusd325.net,72d37ebb-0b2c-4360-baf6-7ecf4f763950,126171026.768555,119946.463343935
30,660,2017,PEORIA USD #150 (Dist # 660),http://www.psd150.org,834e05d9-28b2-41e8-89dd-bdd3b3451fb5,1029832905.22681,294578.206693644
31,770,2017,PRNCEVLLE CUSD #326 (Dist # 770),http://www.princeville326.org,ab40ea02-1320-4341-b2fc-ddfa275d1901,3312950233.77856,452191.19147074
32,800,2017,STARK COUNTY CUSD #100 (Dist # 800),http://stark100.com/,85765210-fabc-4861-ae16-ccfb11bf620a,9825377.2565918,18364.4568041022
33,680,2017,WMSFIELD USD #210 (Dist # 680),http://www.billtown.org/,ff008e14-3fc8-43bc-ad49-6c7578842756,89080595.0546875,95856.8543467684
