OBJECTID,Type,Status,SHAPE_Leng,Shape__Area,Shape__Length
1001,Woodland Deciduous Vegetation Area,New,2226.00770131,44223.4638671875,2226.00770131262
1002,Woodland Deciduous Vegetation Area,New,5052.3729453,337936.985595703,5052.37294529911
1003,Woodland Deciduous Vegetation Area,New,394.874184525,7518.51123046875,394.874184521655
1004,Woodland Deciduous Vegetation Area,New,902.013193029,15329.3068847656,902.013193027125
1005,Woodland Deciduous Vegetation Area,New,5556.27902267,348033.540527344,5556.27902266153
1006,Woodland Deciduous Vegetation Area,New,1366.65858967,51430.2438964844,1366.65858967484
1007,Woodland Deciduous Vegetation Area,New,3903.52706705,304359.96484375,3903.52706705485
1008,Woodland Deciduous Vegetation Area,New,408.740845806,8780.99169921875,408.740845798918
1009,Woodland Deciduous Vegetation Area,New,190.916938631,2040.57495117188,190.916938635636
1010,Woodland Deciduous Vegetation Area,New,278.362962454,1957.2021484375,278.362962457804
1011,Woodland Deciduous Vegetation Area,New,318.386045273,3457.72338867188,318.386045277346
1012,Woodland Deciduous Vegetation Area,New,148.325491502,1189.74780273438,148.325491504755
1013,Woodland Deciduous Vegetation Area,New,746.929102039,13721.2482910156,746.929102039581
1014,Woodland Deciduous Vegetation Area,New,1036.25478194,18836.2651367188,1036.25478194586
1015,Woodland Deciduous Vegetation Area,New,1209.57661904,19228.453125,1209.57661904648
1016,Woodland Deciduous Vegetation Area,New,1305.95952201,30621.205078125,1305.95952200948
1017,Woodland Deciduous Vegetation Area,New,166.898881201,1261.66552734375,166.898881200023
1018,Woodland Deciduous Vegetation Area,New,577.413921011,14921.3923339844,577.413921012699
1019,Woodland Deciduous Vegetation Area,New,144.932103399,1297.15087890625,144.932103396397
1020,Woodland Deciduous Vegetation Area,New,600.976577741,9218.64135742188,600.976577741198
1021,Woodland Deciduous Vegetation Area,New,12365.5471216,281354.944580078,12365.5471216494
1022,Woodland Deciduous Vegetation Area,New,388.438848688,5205.96142578125,388.43884868842
1023,Woodland Deciduous Vegetation Area,New,352.390968907,5240.70776367188,352.390968902461
1024,Woodland Deciduous Vegetation Area,New,493.323216812,5191.06127929688,493.323216811331
1025,Woodland Deciduous Vegetation Area,New,570.588363121,6875.07470703125,570.588363120927
1026,Woodland Deciduous Vegetation Area,New,1775.51806044,24180.4201660156,1775.51806044834
1027,Woodland Deciduous Vegetation Area,New,1098.19242801,19349.80078125,1098.19242800787
1028,Woodland Deciduous Vegetation Area,New,672.667736454,12727.8825683594,672.66773645701
1029,Woodland Deciduous Vegetation Area,New,180.34264056,2019.97900390625,180.342640561486
1030,Woodland Deciduous Vegetation Area,New,435.502820832,9045.0419921875,435.50282083141
1031,Woodland Deciduous Vegetation Area,New,204.192769592,2733.54296875,204.19276959846
1032,Woodland Deciduous Vegetation Area,New,471.876023527,3365.08642578125,471.876023528895
1033,Woodland Deciduous Vegetation Area,New,427.604875265,7293.63159179688,427.604875267479
1034,Woodland Deciduous Vegetation Area,New,326.726205987,3910.0810546875,326.726205989732
1035,Woodland Deciduous Vegetation Area,New,370.655512247,5105.4697265625,370.655512238802
1036,Woodland Deciduous Vegetation Area,New,206.193580175,3044.51953125,206.193580172423
1037,Woodland Deciduous Vegetation Area,New,254.662450592,1936.72119140625,254.662450584691
1038,Woodland Deciduous Vegetation Area,New,179.670808291,1496.40649414063,179.67080828991
1039,Woodland Deciduous Vegetation Area,New,527.022923356,6229.052734375,527.022923357114
1040,Woodland Deciduous Vegetation Area,New,307.369550397,2146.58349609375,307.369550403898
1041,Woodland Deciduous Vegetation Area,New,472.824766452,6225.07861328125,472.824766461408
1042,Woodland Deciduous Vegetation Area,New,434.905439324,6998.82836914063,434.905439324312
1043,Woodland Deciduous Vegetation Area,New,186.918139105,2326.82592773438,186.918139104933
1044,Woodland Deciduous Vegetation Area,New,25599.4499821,3208936.70532227,25599.4499820892
1045,Woodland Deciduous Vegetation Area,New,300.103235137,3469.54956054688,300.103235132773
1046,Woodland Deciduous Vegetation Area,New,284.26618736,2758.24365234375,284.266187359542
1047,Woodland Deciduous Vegetation Area,New,2979.99214977,102507.973144531,2979.99214977032
