OBJECTID,PRECINCTID,NAME,COUNTY,POLLINGID,LASTUPDATE,LASTEDITOR,GlobalID,Shape__Area,Shape__Length
1,100-1,AK01,Peoria County,1,,,09120bec-ff9c-4346-a753-c8cc6b30cc7f,1017025314.20679,127652.379381923
2,100-8,CH06,Peoria County,5,,,ac2df575-634d-4d35-9ae3-0797173bb160,4646642.3581543,10980.4874823641
3,100-9,CH07,Peoria County,5,,,2a062faa-7fdd-4f22-9105-0b380a542e35,7630583.19360352,15691.6015389805
4,100-11,CH09,Peoria County,7,,,47ea504a-c6b7-4944-b198-e6c57422d4a6,44257670.4465332,39024.850025774
5,100-12,CH10,Peoria County,7,,,6db5f01d-7c2d-478b-9c61-d3de9463d209,33745957.6350098,26853.8612761387
6,100-13,EL01,Peoria County,8,,,33d2ca4f-3378-42a4-ba0a-c9aaab47f7b4,732146042.408203,122218.553513439
7,100-14,EL02,Peoria County,8,,,cc0fce60-1795-4f49-8eb8-359ef155a97a,44761041.1062012,29400.8407290886
8,100-15,EL03,Peoria County,8,,,18274a57-f112-4184-a2c0-fdeb5cebfea6,241154748.911865,69972.078563796
9,100-16,HA01,Peoria County,96,,,09ce06e9-91df-4a60-8fb2-3c544b0b28aa,502874624.717773,105771.635536749
10,100-17,HA02,Peoria County,96,,,854f1826-f83f-4b7c-9326-ab0d3980af9b,504287249.524902,105769.409972941
11,100-18,HO01,Peoria County,10,,,b52de484-0017-47d7-a23a-877fe7eee6a5,348434297.411377,79958.8045708273
12,100-20,JU01,Peoria County,2,,,7cd7749c-486d-4199-b2dd-1ffeb1e5e225,631367148.389893,114487.293610943
13,100-21,JU02,Peoria County,13,,,fc4f2d05-4b4e-420c-91be-c12b78537092,379587948.100098,104007.540548142
14,100-22,KI01,Peoria County,13,,,9e708181-4414-4408-8847-4838c2719000,310060658.631836,207764.589106118
15,100-23,KI02,Peoria County,13,,,0666a9fd-de94-40c3-b00b-e57cff78547a,208511323.65625,89562.960662704
16,100-24,KI03,Peoria County,14,,,bad987ed-6e01-4641-b3d0-4d6390c0cdd1,265214371.02832,80803.3784995155
17,100-25,LI01,Peoria County,15,,,b517ffa3-52ad-45d3-9935-df9f61317f81,145700268.338379,65880.3535247906
18,100-26,LI02,Peoria County,15,,,b48217b9-7656-4ce1-9d58-1182f0fff163,144345512.970459,68881.3146239863
19,100-27,LI03,Peoria County,16,,,449b761d-c060-4a03-a557-a65c66b7d55b,42614148.5437012,33021.556142103
20,100-28,LI04,Peoria County,16,,,bb70f6a7-2c26-4cb4-ae53-af80d8c54f99,53276119.9143066,42558.9216503421
21,100-29,LI05,Peoria County,15,,,1226b419-f2b1-4517-a402-dd01b787607a,25849640.4414063,24311.3857384479
22,100-30,LI06,Peoria County,18,,,d787a058-9a3a-4416-96e6-812ea7903093,33569587.7409668,35894.8107498773
23,100-31,LI07,Peoria County,18,,,510c09bc-0145-419d-9c5d-b66829a9185a,45942448.1337891,53578.1015772962
24,100-33,LI09,Peoria County,18,,,9ae3ceac-8dd0-4850-b7e5-20d39fe750fb,43976979.1477051,34883.6735503216
25,100-34,LI10,Peoria County,20,,,2d62a2a9-4d27-4c55-818a-84fa08bcd769,28221187.6481934,33696.0408690658
26,100-35,LI11,Peoria County,18,,,201798e0-e768-4bf5-b50b-5b2b7f1f57a6,11190660.7734375,20920.5433518398
27,100-36,LI12,Peoria County,20,,,4f3ef2a5-c8ae-4031-8762-4b7009e68d31,16251295.2753906,20112.7853121734
28,100-37,LI13,Peoria County,21,,,351e618d-3c77-41c8-b061-2291d56edd5c,10653984.9038086,19919.0990676501
29,100-38,LI14,Peoria County,22,,,642f6246-560c-4dcb-a560-4f68c9160578,136262727.693848,57590.793764767
30,100-39,LI15,Peoria County,20,,,daecd631-38df-4b6f-b5ca-e4a2dcd7b690,40256711.5788574,41121.5086927683
31,100-40,LI16,Peoria County,20,,,c5da2dc8-b1c9-4f26-b6c2-f8ca1cc91f7c,5880363.91186523,10401.2642445715
32,100-41,LI17,Peoria County,21,,,3488b566-3792-4c79-bbcf-0323d544061d,41861072.8100586,27630.9545577654
33,100-42,LI18,Peoria County,22,,,26966255-aaa2-46f3-9ba1-a559e1862eb4,27597672.7912598,20978.1224639246
34,100-43,LI19,Peoria County,22,,,7719fdbe-8881-4487-8f6a-78cfb77ca2ca,98359515.1362305,58298.3267761263
35,100-44,LI20,Peoria County,95,,,f9c5887e-1c63-423d-9fef-6a8641f4bc00,35195526.701416,32067.2368568816
36,100-45,LO01,Peoria County,26,,,246f600d-a8a6-4413-80e8-a06e265337d0,783205988.115479,128967.51213165
37,100-46,LO02,Peoria County,26,,,cfba1558-83d0-4dec-b8b4-8492b2f74071,13294678.237793,20563.7947424214
