OBJECTID,TYPE,Status,Comments,Date_Mod,Compiler,Name,Name_Source,created_user,created_date,last_edited_user,last_edited_date,GlobalID,Shape__Area,Shape__Length
2001,Pond,New,,,,,,GISAdmin,2018-06-22T17:57:48.963Z,GISAdmin,2018-06-22T17:57:48.963Z,a62e83d5-2ce6-4dcf-aa7e-a5211d74536b,2358.25170898438,195.984271209158
2002,Stream,New,,,,,,GISAdmin,2018-06-22T17:57:48.963Z,GISAdmin,2018-06-22T17:57:48.963Z,2908d845-11dc-4f9a-9cfe-ace10790d1f2,12005.8256835938,2208.43819684492
2003,Stream,New,,,,,,GISAdmin,2018-06-22T17:57:48.963Z,GISAdmin,2018-06-22T17:57:48.963Z,8877c20f-9407-439a-ac12-675189f3e3b4,574.94140625,311.895160280948
2004,Stream,New,,,,,,GISAdmin,2018-06-22T17:57:48.963Z,GISAdmin,2018-06-22T17:57:48.963Z,cfafc377-b1f8-487d-a4b5-708fd156fa1b,9587.43481445313,2712.19099098629
2005,Marsh or Swamp,New,,,,,,GISAdmin,2018-06-22T17:57:48.963Z,GISAdmin,2018-06-22T17:57:48.963Z,764aca6d-b196-4594-84af-4a8d2efe7b84,2366.00756835938,307.096600251694
2006,Marsh or Swamp,New,,,,,,GISAdmin,2018-06-22T17:57:48.963Z,GISAdmin,2018-06-22T17:57:48.963Z,2bbacc67-0796-4efa-9cd0-40392c40252a,2299.32177734375,258.796462484388
2007,Stream,New,,,,,,GISAdmin,2018-06-22T17:57:48.963Z,GISAdmin,2018-06-22T17:57:48.963Z,1fbb1541-dacf-4d17-b178-5d88a7ac61dd,35003.9133300781,8231.89168491281
2008,Pond,New,,,,,,GISAdmin,2018-06-22T17:57:48.963Z,GISAdmin,2018-06-22T17:57:48.963Z,7cc14646-0186-47b3-99ff-5e4edc5267b4,23290.6118164063,677.846305435005
2009,Pond,New,,,,,,GISAdmin,2018-06-22T17:57:48.963Z,GISAdmin,2018-06-22T17:57:48.963Z,622b20ff-85be-4e90-a69d-c4375d0ecbd3,25279.7800292969,783.443436911271
2010,Stream,New,,,,,,GISAdmin,2018-06-22T17:57:48.963Z,GISAdmin,2018-06-22T17:57:48.963Z,f398a047-74f2-4901-a5b5-7d14966939a2,2242.8447265625,895.082971619188
