OBJECTID,TYPE,Status,Comments,Date_Modified,Name,Name_Source,Update_Author,created_user,created_date,last_edited_user,last_edited_date,GlobalID,Shape__Length
1,Water Body Centerline,Update,Merge,2011-04-25T00:00:00.000Z,,,S. Bradbury,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,a9ea127b-f979-47c1-af5a-d5c8a0dcc9c3,5645.83067393681
2,Water Body Centerline,Update,,2011-06-17T00:00:00.000Z,No Name,USGS,A.Hendon,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,0c552e72-5bef-4c7c-b3e2-edc7485fcc37,31643.0257075817
3,Water Body Centerline,Update,,2011-06-15T00:00:00.000Z,No Name,USGS,A.Hendon,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,70050459-ad97-488b-921d-3bc439b4e88a,1825.52298962865
4,Water Body Centerline,Update,Merge,2011-04-25T00:00:00.000Z,No Name,USGS,A.Hendon,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,0216987f-ce86-40ff-92de-ac7c1a811839,6953.25561400309
5,Water Body Centerline,Update,Merge,2011-04-25T00:00:00.000Z,,,S. Bradbury,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,566f5852-0d50-4f56-9220-34e1dbceb8ff,4709.16275078413
6,Water Body Centerline,Update,,2011-06-15T00:00:00.000Z,No Name,USGS,A.Hendon,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,c9be5fc6-83fd-4faa-948c-a03120a0930c,407.661107182152
7,Water Body Centerline,New,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,10cd9a7f-71f0-4942-89f0-33c2aa762120,8280.31928957219
8,Water Body Centerline,Update,,2011-06-15T00:00:00.000Z,No Name,USGS,A.Hendon,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,5e111309-29ad-4e9a-8f97-f6406006275f,873.058528265082
9,Water Body Centerline,Update,Merge,2011-06-17T00:00:00.000Z,Moon Hollow,USGS,A.Hendon,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,085b23fb-08cc-4ecd-a360-e6ca402205a9,5850.41008454657
10,Water Body Centerline,New,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,6cc84ddd-de0f-4c0b-87dd-1a8c367c8b28,1855.58398991375
11,Water Body Centerline,Update,,2011-06-15T00:00:00.000Z,No Name,USGS,A.Hendon,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,f0713ff0-5871-43a2-a32e-983e4ae9b8ba,7111.59931990367
12,Water Body Centerline,New,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,0ba4181e-35c1-496c-a511-aa25f1b167a6,1039.75755522503
13,Water Body Centerline,Update,Merge,2011-04-26T00:00:00.000Z,,,S. Bradbury,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,02a8079b-ce24-4fd4-9d44-5c871c967a19,9404.56882676338
14,Water Body Centerline,New,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,679a096b-c065-4492-80dc-4cae84d7e919,3846.45971223806
15,Water Body Centerline,Update,Merge,2011-04-26T00:00:00.000Z,,,S. Bradbury,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,cbdba77c-3ee2-4ecd-98e7-a33fa69d21e6,21623.7125579712
16,Water Body Centerline,Update,Merge,2011-04-26T00:00:00.000Z,,,S. Bradbury,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,6feacaf5-a3f0-4952-a3fc-86a496a6b46d,1964.04791915261
17,Water Body Centerline,Delete,,,,,Sanborn,GISAdmin,2018-06-22T18:01:33.470Z,GISAdmin,2018-06-22T18:01:33.470Z,f0c2f7f9-0fd3-45b7-807f-fbc51d49b2f3,46.4522193092223
